,batch_size,conditional,delta,device,learning_rate,loss_distance,model,num_hidden_units,num_output,num_steps,save_frequency,share_model,temperature,time_offset,tqdm,train_ratio,valid_frequency,valid_ratio,variant,steps,data_mode,repeat,valid_accuracy,test_accuracy,train_consistency_raw,train_consistency,valid_consistency_raw,valid_consistency,test_consistency_raw,test_consistency,valid_accuracy_raw,test_accuracy_raw
0,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,50,multi-session,4.0,36.30190796857464,35.24130190796858,"[0.5636918  0.63009056 0.75766131 0.58467016 0.50708121 0.56755964
 0.64763784 0.50068442 0.64316203 0.76730907 0.56506926 0.63460827]",0.6141021305195812,"[0.3596266  0.45227737 0.59155201 0.37215808 0.28643716 0.37310817
 0.4853895  0.29290208 0.45766664 0.62846448 0.35774923 0.45573997]",0.42608927481331893,"[0.35555224 0.43459746 0.62684801 0.39503484 0.26953033 0.38503025
 0.48308788 0.26288113 0.47222786 0.65013084 0.36299227 0.45122284]",0.42909466232702415,[44.84848485 21.14478114 35.01683502 44.19753086],[43.61391695 20.13468013 33.15375982 44.06285073]
1,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,50,single-session,4.0,40.791245791245785,41.015712682379345,"[0.52427814 0.42629394 0.66564004 0.45346729 0.22991042 0.35445352
 0.40702306 0.25816762 0.4008113  0.65186827 0.46110379 0.45535583]",0.440697767935594,"[0.33202429 0.33058392 0.54696701 0.3316492  0.17159962 0.24486582
 0.34424547 0.17650073 0.32899062 0.59195374 0.29882725 0.31225663]",0.33420535920483896,"[0.42049223 0.36467362 0.58839761 0.4124342  0.19544871 0.33240294
 0.367126   0.24516044 0.33868422 0.58678959 0.33683069 0.35721097]",0.3788042686123499,[51.91919192 21.70594837 35.12906846 54.41077441],[51.24579125 22.64870932 35.01683502 55.15151515]
2,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,100,multi-session,4.0,39.455667789001126,39.78114478114478,"[0.79257931 0.84231724 0.9049167  0.79843221 0.75516776 0.78895901
 0.84729963 0.75344599 0.848574   0.91272458 0.79602191 0.85212606]",0.8243803672954982,"[0.39638759 0.54798903 0.69052109 0.39691675 0.31846084 0.40408153
 0.55278325 0.31655515 0.54543115 0.69002236 0.39226171 0.54239002]",0.4828167060781096,"[0.45268324 0.50267854 0.69587602 0.47202254 0.32997266 0.43943238
 0.52068245 0.34709462 0.51491121 0.71594493 0.45938768 0.5116795 ]",0.4968638152183099,[47.81144781 24.35465769 37.46352413 48.19304153],[45.20763187 26.8013468  37.5308642  49.58473625]
3,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,100,single-session,4.0,45.80246913580247,44.9719416386083,"[0.65043669 0.54798682 0.76252718 0.51454593 0.35819421 0.48112608
 0.47651712 0.40106255 0.49805768 0.72185406 0.62559286 0.5692843 ]",0.5505987884832008,"[0.37139397 0.36639454 0.59746114 0.33260774 0.20037238 0.28564902
 0.34744761 0.22558035 0.36494425 0.60482304 0.35971584 0.37199361]",0.36903195645315834,"[0.45801076 0.39787791 0.61816987 0.38238052 0.21856257 0.33117305
 0.36826373 0.26834759 0.35842045 0.59228039 0.38240675 0.40256331]",0.3982047413064019,[59.23681257 23.81593715 39.52861953 60.6285073 ],[55.89225589 25.31986532 37.9349046  60.74074074]
4,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,150,multi-session,4.0,41.79012345679012,41.22334455667789,"[0.8689553  0.90335541 0.94496994 0.87289459 0.84334775 0.87419674
 0.90855559 0.84459417 0.91149613 0.94787513 0.87417    0.90967651]",0.8920072718976879,"[0.40824721 0.54726484 0.69843714 0.40845041 0.33841736 0.39089119
 0.56625618 0.3410199  0.55148672 0.71583999 0.39618218 0.55263029]",0.49292695073476905,"[0.45796917 0.53429649 0.71567735 0.47687461 0.35646688 0.45658071
 0.54379826 0.36282069 0.55178849 0.72488311 0.46841003 0.54512965]",0.516224619902588,[50.57239057 26.55443322 40.31425365 49.71941639],[48.75420875 27.67676768 39.30415264 49.15824916]
5,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,150,single-session,4.0,47.525252525252526,46.59371492704826,"[0.72016309 0.59429397 0.76996068 0.54261444 0.42065034 0.48491231
 0.52971232 0.49299773 0.50959822 0.75457785 0.68497362 0.60517368]",0.5924690204183936,"[0.38179439 0.37121935 0.58184648 0.32624497 0.21629093 0.28600557
 0.36303815 0.25194978 0.35912437 0.60627395 0.36278174 0.39731736]",0.37532392063109155,"[0.46583084 0.4049327  0.60459448 0.37814851 0.22690463 0.3047281
 0.37019163 0.2765524  0.34529488 0.62038281 0.3983661  0.41064578]",0.4005477383930895,[59.7979798  25.47699214 42.24466891 62.58136925],[56.83501684 25.23007856 41.84062851 62.4691358 ]
6,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,200,multi-session,4.0,41.4983164983165,41.41975308641976,"[0.92018821 0.94109819 0.96604347 0.92473934 0.90728798 0.92859742
 0.94343954 0.90478211 0.94793811 0.9669766  0.92433293 0.94644892]",0.9351560684406154,"[0.38886287 0.53978458 0.70277886 0.39145815 0.32832915 0.37066068
 0.55793156 0.33811521 0.5506775  0.71504932 0.37610589 0.55084028]",0.4842161711701065,"[0.45345765 0.53286588 0.72270414 0.4727637  0.35728333 0.45844409
 0.55400484 0.35836911 0.55686941 0.73415996 0.46035981 0.54429494]",0.5171314048917497,[51.51515152 26.44219978 40.15712682 47.87878788],[49.8989899  27.76655443 38.38383838 49.62962963]
7,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,200,single-session,4.0,48.92255892255892,48.973063973063965,"[0.75236763 0.62100953 0.78288471 0.55578074 0.46017902 0.50276417
 0.5516243  0.54021902 0.52331282 0.77757991 0.71464658 0.6225233 ]",0.6170743105517598,"[0.38309459 0.38258708 0.57644562 0.3168947  0.22668787 0.29087539
 0.36712577 0.26917965 0.36164545 0.60095731 0.37178571 0.40700871]",0.37952398868327786,"[0.46694043 0.40920277 0.60572164 0.3570318  0.22896478 0.29338878
 0.37249644 0.27552184 0.34851529 0.61795938 0.39870577 0.40425609]",0.3982254176397432,[61.84062851 26.37485971 44.06285073 63.41189675],[58.87766554 28.26038159 43.72615039 65.02805836]
8,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,250,multi-session,4.0,41.447811447811446,42.59259259259259,"[0.94501573 0.95748549 0.97433327 0.94757988 0.93643172 0.95081613
 0.95843496 0.9347152  0.96240303 0.9747794  0.94839436 0.9618041 ]",0.9543494396700718,"[0.38199711 0.53548162 0.70666155 0.38464652 0.31961582 0.36690705
 0.55395001 0.33063762 0.54737108 0.71708306 0.37024218 0.54220951]",0.4797335944470224,"[0.4523644  0.52021502 0.7227865  0.46768289 0.3428761  0.454117
 0.54391194 0.34656228 0.55051159 0.73280395 0.45336875 0.5336833 ]",0.5100736413549687,[50.3030303  26.08305275 40.80808081 48.59708193],[51.335578   28.73176207 39.55106622 50.75196409]
9,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,8,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,250,single-session,4.0,49.741863075196406,50.37037037037037,"[0.76348481 0.6269536  0.78238471 0.57211492 0.48487925 0.51551647
 0.55024919 0.5664469  0.52913088 0.79329188 0.73768836 0.62775995]",0.6291584100737151,"[0.37953423 0.38215773 0.57606172 0.30569788 0.2234997  0.27970298
 0.36489096 0.27139404 0.35787445 0.60660731 0.3733928  0.4026143 ]",0.3769523417173149,"[0.45105652 0.39129775 0.60338647 0.34470195 0.21999072 0.28602059
 0.35900107 0.26215717 0.34813241 0.61251728 0.38775768 0.39059346]",0.38805109005560146,[62.31200898 27.07070707 45.65656566 63.92817059],[60.         29.33782267 44.46689113 67.67676768]
