,rat,seed,split,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2
0,achilles,0,0,25,0.7650978353228722,0.07017004489898682,0.9233660912780556,0.7551007870642389,0.07170976638793936,0.8782056601641257
1,achilles,1,0,25,0.7859474052196732,0.06438335791230203,0.9168268165844204,0.751849971406772,0.06962065219879143,0.8900343152681834
2,achilles,2,0,25,0.829259575514736,0.06296134591102598,0.908587358701532,0.8536995950931331,0.06509416964370757,0.8848153164262701
3,achilles,3,0,25,0.8809787776788864,0.05526580750942228,0.9318497222790011,0.8588071004936073,0.06466749288141727,0.89150539179711
4,achilles,4,0,25,0.7851237669066365,0.07185121059417726,0.91435590164531,0.757923895646794,0.06670715808868408,0.8823587654964993
5,achilles,5,0,25,0.8495357327327301,0.06253029076382516,0.9254507493838535,0.8363981568080353,0.06724110603332523,0.8933380873850595
6,achilles,6,0,25,0.8395129317041672,0.06127550274133685,0.9079437980043535,0.8504532769207841,0.06688287258148184,0.8880250231550982
7,achilles,7,0,25,0.8451313696387124,0.06246236503124236,0.9122376601018005,0.865409122454115,0.06205167040228843,0.8940465760174665
8,achilles,8,0,25,0.8774238261663309,0.05948845259845255,0.927465593594429,0.8561219591668184,0.06694291114807127,0.8877661882320347
9,achilles,9,0,9,0.7326016980122515,0.09600510531001624,0.6939824364312113,0.7335664378393781,0.11129356424013774,0.6236889142167117
10,buddy,0,0,16,-0.40864319190622406,0.22236335091292858,0.10219358971511139,-0.4612792273360373,0.26303894096054137,0.1268453735932411
11,buddy,1,0,9,-0.40520078067346255,0.23149677779939437,0.02049898473780798,-0.5966358739403116,0.25426201025644946,-0.006373551535538313
12,buddy,2,0,16,-0.37128478250024904,0.24501689663156867,0.030225140581859655,-0.5092231955022012,0.28046243637800217,-0.041239954432721104
13,buddy,3,0,16,-0.3639645444694599,0.27100355725269765,0.11353374712461917,-0.49541269207026284,0.2559996088966727,0.24878914701966504
14,buddy,4,0,16,-0.3543024572937387,0.25089247777941637,0.08117211620139342,-0.4612492772810824,0.3044145363382995,0.09055508846690064
15,buddy,5,0,16,-0.3394659822304887,0.25202194857411087,0.09500759516594459,-0.5189104323192374,0.2513536885380745,0.07521887628099266
16,buddy,6,0,25,-0.5573879695268106,0.31298654392361636,0.0240466115557062,-0.6209461737916634,0.33742986440658573,-0.01867089227091867
17,buddy,7,0,25,-0.39935736157913704,0.21837636705953628,0.1530565403652686,-0.4776808924108844,0.2620773489028215,0.0776403783686993
18,buddy,8,0,16,-0.37809027476474616,0.2585594989359379,0.18618385458324505,-0.3788209716857298,0.2589301117695868,0.27720644643428094
19,buddy,9,0,9,-0.46034851965643275,0.253699374695619,0.05443641825267065,-0.6462857445577558,0.2911802430947622,0.002324089540687746
20,cicero,0,0,25,-0.3182403089052606,0.4468340351060034,0.16441047365333405,-0.5454975701373501,0.4980132034001872,-0.21155288529805416
21,cicero,1,0,25,-0.2904463449928727,0.4445976915047504,0.15860046044831733,-0.5818139837675381,0.5098794392496347,-0.2329046018431269
22,cicero,2,0,25,-0.29289863921586956,0.4366664884239435,0.18485212167057974,-0.5944486552172183,0.4972505640983582,-0.2245423181223618
23,cicero,3,0,25,-0.3032637699042611,0.4488235109299421,0.16409782003348306,-0.5931816928721021,0.5102660792320967,-0.2121050554473225
24,cicero,4,0,25,-0.263305460752801,0.4438900795951486,0.16375757126145407,-0.5436263201118189,0.5032087051868439,-0.22999761021776188
25,cicero,5,0,25,-0.34178746523223885,0.4465827691555023,0.14159654790225495,-0.5804125855262121,0.5085509639978409,-0.216362727633868
26,cicero,6,0,25,-0.3032449923067482,0.4411296381056309,0.15639833500496458,-0.5473857259398384,0.5006437472999096,-0.20364590527171744
27,cicero,7,0,25,-0.26282896969536584,0.4415010760724545,0.16518704443376198,-0.5051794482116972,0.5014918141067028,-0.216442850270961
28,cicero,8,0,25,-0.3156070603744003,0.45357270149514084,0.15033540208624707,-0.5522839267244414,0.5000740471482277,-0.1973664525005372
29,cicero,9,0,25,-0.356653654322423,0.4565386483771726,0.1538739779861351,-0.6546955649859442,0.5152897021919489,-0.21034771156109566
30,gatsby,0,0,16,-0.020118320721521605,0.19227656483417377,0.3318848283097867,0.22754060718195993,0.20672053412999958,0.4279484046471038
31,gatsby,1,0,16,0.02722473250421668,0.18070150690618902,0.33642894255744205,0.17413494026699586,0.2063530390150845,0.38534101192789794
32,gatsby,2,0,16,0.03072404302132718,0.17761942301876843,0.378352027349816,0.2148086586952056,0.19854071295412723,0.4367964023971156
33,gatsby,3,0,16,0.004109215992116814,0.18300555646419525,0.3535015644340074,0.20749768646420363,0.20300458917336073,0.4289766386671914
34,gatsby,4,0,16,0.014565341892336528,0.17799847316928208,0.3220196356525812,0.2122224534007394,0.20479170535691082,0.400811480587553
35,gatsby,5,0,25,0.03789825436614006,0.18875729694962506,0.32523992243677635,0.2444464570910105,0.20903172675520182,0.39163484443524765
36,gatsby,6,0,25,-0.11587597257920619,0.2384628462791443,0.193881350631684,0.07896740469738583,0.22947670012712473,0.4150321547279149
37,gatsby,7,0,16,0.045438474020784124,0.17162379249930382,0.39107016710714226,0.17114857965602862,0.20914586773142219,0.41401700466322044
38,gatsby,8,0,25,0.08111026839129154,0.16767665043473243,0.38416936971988647,0.23077245726788265,0.1998461985914037,0.4164742254602454
39,gatsby,9,0,16,-0.21007022399729783,0.1985779443930369,0.3551788859071324,0.020075331358867188,0.2178977106232196,0.49004049588733445
40,achilles,0,1,25,0.6251361597020455,0.0800914430618287,0.759398449356438,0.6704320867347779,0.06297433853149415,0.9039938595436268
41,achilles,1,1,25,0.6281447516680672,0.08021614342927932,0.7636459010909884,0.6861561561146807,0.05960026741027835,0.8948307822881373
42,achilles,2,1,25,0.6221684195690701,0.07740707084536552,0.750495228957512,0.751593629303863,0.057082948684692436,0.8831359942426448
43,achilles,3,1,25,0.6846372886854831,0.0750226378440857,0.7563255180931754,0.7585274461935528,0.05377449989318839,0.8909369944358995
44,achilles,4,1,25,0.5771517930733429,0.08068152491003275,0.7635733985392996,0.6850360613767691,0.06417138159275054,0.8828035310905256
45,achilles,5,1,25,0.6847575549473045,0.07597078919410705,0.7901345860232458,0.7535187554903447,0.05920574188232419,0.8975783397859671
46,achilles,6,1,25,0.6678704412378829,0.07849340915679925,0.7538082173855266,0.7399312347692394,0.06050692081451414,0.8828166785742806
47,achilles,7,1,9,0.6540214081870573,0.0771112735900614,0.7361527390506248,0.7412353032196272,0.05926582051648033,0.873728433449629
48,achilles,8,1,25,0.637553961171373,0.07735066533088686,0.7536469362927849,0.7549128755845668,0.05618819236755379,0.8844267661008801
49,achilles,9,1,16,0.5759198567667582,0.11590557964518666,0.5352963539343338,0.6913981475677405,0.076654352247715,0.7242169664939696
50,buddy,0,1,16,-0.37346014336967853,0.23296636994928122,-0.005450247509726447,-0.42223811646021003,0.2528935680165887,0.23211491311417076
51,buddy,1,1,16,-0.3485880072343647,0.2482411190867424,0.04839995967888622,-0.4539173779527789,0.26788238872541115,0.21633863296482725
52,buddy,2,1,16,-0.3697248293701822,0.233034024015069,0.016138795097425662,-0.3939210688835281,0.28308675438165665,0.19251226332822058
53,buddy,3,1,16,-0.3641678164522702,0.24046047078445554,0.001660532025170025,-0.493532687842021,0.28454641345888376,0.21072342376618636
54,buddy,4,1,25,-0.416411630407085,0.27004959821701047,-0.00970750131797593,-0.3976111720532418,0.2842659384012222,0.1927650258659892
55,buddy,5,1,16,-0.43527968537662703,0.22581461817026138,0.006370038034048786,-0.42923376936742375,0.25853060401277617,0.20546641836907487
56,buddy,6,1,4,-0.5256507360419234,0.31405684095807374,-0.21282761091851632,-0.5785237031194234,0.31206145510077477,0.035011882262342975
57,buddy,7,1,4,-0.40400254377079575,0.24810339510440826,-0.09707744871307811,-0.448153311872348,0.2632981860078871,0.13738471880739556
