,dataset,anticausal,causal,algorithm
0,gaussian,21.24029227300665,22.921508422944854,autoLFADS
1,gaussian,44.570866863907874,44.688264738345495,autoLFADS
2,gaussian,57.839263541338745,74.39062788358896,autoLFADS
3,gaussian,69.55123994212111,86.35733790224083,autoLFADS
4,gaussian,8.292626792172713,29.25040765287101,autoLFADS
5,gaussian,30.62663212773158,60.45104765582599,autoLFADS
6,gaussian,23.777400054377896,31.626411339700272,autoLFADS
7,gaussian,45.802461989844694,60.251833431921284,autoLFADS
8,gaussian,66.9795530030111,79.84375685611937,autoLFADS
9,gaussian,50.87563188485491,56.05125706494092,autoLFADS
10,gaussian,29.274098948624488,45.09258932468447,autoLFADS
11,gaussian,25.528816285365675,25.756413429948704,autoLFADS
12,gaussian,72.78061145485293,87.47085081502091,autoLFADS
13,gaussian,51.60925238006453,46.68909616083513,autoLFADS
14,gaussian,60.558373064189986,71.56748984810604,autoLFADS
15,gaussian,57.128011727316164,63.76769963574076,autoLFADS
16,gaussian,6.142700151742186,30.55571736315138,autoLFADS
17,gaussian,21.121642858839536,11.364327824045839,autoLFADS
18,gaussian,17.777673574194814,60.62338400984959,autoLFADS
19,gaussian,22.64591448494979,45.53781072291208,autoLFADS
20,gaussian,43.69220297413197,62.1440858228305,autoLFADS
21,gaussian,71.4044319095312,84.86688674617916,autoLFADS
22,gaussian,25.49818042210223,60.326663379966774,autoLFADS
23,gaussian,34.194803480369615,57.07067735385208,autoLFADS
24,gaussian,45.01769636477031,62.65318761444092,autoLFADS
25,gaussian,67.9750363372321,73.50312299307471,autoLFADS
26,gaussian,25.402072975480262,28.303708437466575,autoLFADS
27,gaussian,13.37385921149803,47.563087242644535,autoLFADS
28,gaussian,28.394744775026915,57.567390029811435,autoLFADS
29,gaussian,57.6889953580999,72.87174013653163,autoLFADS
30,gaussian,72.22654341882509,34.504357544957806,autoLFADS
31,gaussian,60.65368840480634,45.6847221301926,autoLFADS
32,gaussian,27.30425096618222,35.81109785744624,autoLFADS
33,gaussian,46.85320639358772,16.095120124784717,autoLFADS
34,gaussian,50.150457271700866,59.37563681304078,autoLFADS
35,gaussian,14.28369052896159,51.49487682169897,autoLFADS
36,gaussian,7.8236118940883115,38.82587817646344,autoLFADS
37,gaussian,53.03720357104762,46.74366534178683,autoLFADS
38,gaussian,33.040168684997354,56.484692799184046,autoLFADS
39,gaussian,45.109710504263454,64.39840587234835,autoLFADS
40,gaussian,36.7558630962367,54.87950699206221,autoLFADS
41,gaussian,59.17978984970905,73.99173397771294,autoLFADS
42,gaussian,5.316037983419847,3.2244789565086416,autoLFADS
43,gaussian,37.2849648974926,49.28699803408006,autoLFADS
44,gaussian,12.345423723402831,54.59094425175435,autoLFADS
45,gaussian,40.13110894499131,54.1048055560629,autoLFADS
46,gaussian,79.05980986347888,78.2632991567952,autoLFADS
47,gaussian,59.28201933868501,62.95141817586287,autoLFADS
48,gaussian,69.16972408848399,67.63618398964786,autoLFADS
49,gaussian,57.00276610066402,71.63836586641237,autoLFADS
50,gaussian,12.063277092587644,50.09156743500893,autoLFADS
51,gaussian,20.611073199831253,52.09878905388392,autoLFADS
52,gaussian,21.951605281464314,50.1028490412432,autoLFADS
53,gaussian,13.3075309642866,53.685285036972395,autoLFADS
54,gaussian,34.605704729411904,62.02907013483119,autoLFADS
