num_hidden_units,model_architecture,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,model_architecture,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,0,0,[0.68406226 0.60804196 0.80426088],[0.63528141 0.56687427 0.78692979],[0.39128106 0.30405486 0.54738003],[0.32218593 0.53899544 0.66778873],25,0.6801583338871812,0.10221904516220093,0.7878813742319414,0.6038298740108542,0.12126481533050537,0.7354835199539898,"[0.8677212785567959, 0.9093414859083646]","[0.8699272466396462, 0.9077546425506408]","[0.8886919726623588, 0.9232143168482808]","[0.8467375501691768, 0.9050391012875578]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,0,0,[0.64283324 0.58382741 0.59023985],[0.56647491 0.51785851 0.56085865],[0.45647587 0.18028502 0.29567697],[0.30789892 0.22722572 0.31920733],4,-0.4261923166261507,0.3186191916465759,0.11089418446899513,-0.7006086883304773,0.35948362946510315,-0.7543164946680827,"[0.8143585986803034, 0.7217653199879884]","[0.8867900082554793, 0.7296895007176577]","[0.7477436367456414, 0.7046691125182226]","[0.7592565264898782, 0.7259879061855127]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,0,0,[0.66831957 0.54668661 0.58556411],[0.63972726 0.53963735 0.65650637],[0.46270948 0.22012521 0.21096679],[0.47726172 0.16478232 0.35521028],25,-0.28926209710367873,0.4321666955947876,0.03547490060608016,-0.637238405677585,0.5710960626602173,-0.5993719653416432,"[0.9706355047628117, 0.8640678687591502]","[0.9692121233272823, 0.8546045027159318]","[0.9701147682610776, 0.8607881696549026]","[0.9706616922352507, 0.8778250196311749]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,3,0,0,[0.74667213 0.72499185 0.58029021],[0.69058511 0.69207907 0.59099781],[0.58312763 0.33824994 0.21788954],[0.55471004 0.32805829 0.39660754],16,-0.3946562272857687,0.3148549795150757,-0.010028320251040057,-0.615894099524345,0.3652831017971039,-0.49975362452099725,"[0.9423488420647977, 0.9418259064256403]","[0.9461011681145477, 0.9461850163313482]","[0.9430790918536696, 0.9410157233849578]","[0.9285489894235264, 0.926610932894557]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,0,2,[0.68847454 0.56157082 0.81543744],[0.62156866 0.52259477 0.80349059],[0.35485065 0.36397207 0.70331222],[0.52146782 0.50789559 0.67646813],16,0.39577734907808954,0.14268773794174194,0.668619616682389,0.4080612935883225,0.12197387218475342,0.6499533542205946,"[0.8978152365887789, 0.8939560466664007]","[0.8991711962050187, 0.8956195503771577]","[0.8886916469049453, 0.8884757497859562]","[0.898611399558046, 0.8918253934509929]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,0,2,[0.71056109 0.57288787 0.66109813],[0.65499076 0.47075324 0.58045565],[0.38337012 0.24847104 0.34462538],[0.4462281  0.39397075 0.48196622],1,-0.38561384235525065,0.23733067512512207,-0.29874159225925334,-0.6019773496049756,0.30412063002586365,-0.3680396242189474,"[0.9289146316152367, 0.9541083292108361]","[0.9297938372793438, 0.9518095326176227]","[0.9172861224339259, 0.9611960389478824]","[0.9215503576523777, 0.9587884303258597]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,0,2,[0.51058099 0.50119331 0.55015566],[0.45858282 0.42868378 0.44839229],[0.37368238 0.24048979 0.33746737],[0.39529745 0.31316809 0.54833234],25,-0.5626775825066831,0.5073425769805908,-0.030563193424986368,-0.393512694413474,0.45238804817199707,-0.09508996495397826,"[0.7421951759328816, 0.8011928758536125]","[0.7375919073003434, 0.7968053069869949]","[0.7448356091720774, 0.8142949616193693]","[0.757192460648433, 0.8128750405597943]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,3,0,2,[0.79248978 0.76454523 0.59303051],[0.74871327 0.67145323 0.5094747 ],[0.63434011 0.4028337  0.34910625],[0.59199145 0.59487119 0.53566514],25,-0.1253691153030045,0.25548598170280457,0.1380175226645699,-0.020771173826624523,0.2754289507865906,0.3170171796353337,"[0.9434933128837321, 0.9387351130321817]","[0.9414165647187945, 0.937627111809945]","[0.9464264051715899, 0.9416179541600723]","[0.9516870774463516, 0.9413229581017054]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,1,0,[0.68911101 0.57159103 0.81931775],[0.64398424 0.6339843  0.80539828],[0.37362911 0.35673288 0.6037545 ],[0.41138144 0.32475122 0.7073885 ],25,0.7032887689661824,0.10126876831054688,0.7881846954406885,0.6585168254219379,0.1199190616607666,0.7441061483648768,"[0.8571923285437518, 0.9077578178121]","[0.8611333178738966, 0.9083454595617472]","[0.8698741560457298, 0.9166947413013279]","[0.833999463202019, 0.8998453299577439]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,1,0,[0.72020243 0.54953953 0.64307511],[0.66121388 0.51062625 0.64545223],[0.38062949 0.21151292 0.33991894],[0.45497551 0.1612345  0.3714288 ],16,-0.4197142676782524,0.3508395850658417,0.09965438440211771,-0.5208414937482672,0.32478800415992737,-0.29991551536377936,"[0.7595208581657383, 0.7110735111490688]","[0.8812101869002795, 0.7216669776046464]","[0.6693873400581177, 0.6981173262995993]","[0.685876439567334, 0.7370032593187389]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,1,0,[0.63852202 0.62807674 0.6407751 ],[0.67510988 0.60491883 0.69652734],[0.35494193 0.21400662 0.30834152],[0.39913824 0.17588109 0.2873966 ],1,-1.0353509124942024,0.8110895156860352,-1.8343901899486106,-0.785598434850999,0.3709121346473694,-0.8365437499541342,"[0.9687564609545603, 0.8603649164922906]","[0.9664983029938462, 0.8520917886508871]","[0.9666775211982842, 0.8548937025391637]","[0.9699431179965954, 0.8719519127787357]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,3,1,0,[0.79626744 0.77284408 0.61484925],[0.776618   0.73908445 0.6449767 ],[0.55997182 0.34283263 0.29283543],[0.68233207 0.36915    0.24506665],16,-0.3004860253138398,0.3159644603729248,0.15463796530033358,-0.6461094214267525,0.3688179552555084,-0.5009960135284017,"[0.9429250391131214, 0.9407150943709328]","[0.9455659351072091, 0.9435454027647959]","[0.9456309315720773, 0.9391329042079967]","[0.9310180640658993, 0.9314426990132825]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,2,0,[0.60342096 0.55889243 0.82357676],[0.58316584 0.63326133 0.81158173],[0.31865014 0.34018659 0.62195101],[0.32732973 0.38997819 0.69045643],9,0.7077456815813594,0.10790273547172546,0.7701518041738591,0.5594734823426355,0.12242287397384644,0.6758157293595517,"[0.8610182179046131, 0.8674454915722715]","[0.8630960762855725, 0.8706093532273748]","[0.8712844334278985, 0.8735212899953746]","[0.8464820492776818, 0.8552654314361048]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,2,0,[0.68372174 0.5698473  0.72570583],[0.62838358 0.52472245 0.70392221],[0.43925282 0.16240561 0.35564262],[0.39698872 0.18844835 0.3861752 ],25,-0.4517333278011666,0.28442299365997314,0.011265690792220728,-0.4185937410657528,0.32188621163368225,-0.1326518226080553,"[0.5718226141475179, 0.683556245635395]","[0.5641760761631777, 0.6890889074483221]","[0.56288606532946, 0.666747089583715]","[0.5912774601524531, 0.7060335531662676]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,2,0,[0.78974898 0.55447937 0.69221409],[0.76987209 0.53876718 0.72531612],[0.54149745 0.17951659 0.34056143],[0.59583567 0.19906107 0.44494075],9,-0.34136777257259104,0.34066352248191833,-0.022601764866209795,-0.4238348438157085,0.3622003197669983,-0.19051324935881198,"[0.7923105171221477, 0.8322178981943679]","[0.7814196077522015, 0.8290165395359095]","[0.778754003443952, 0.824045224642315]","[0.8133362323877454, 0.8413289968456241]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,3,2,0,[0.83252587 0.72148254 0.61180412],[0.80157249 0.70786701 0.6708305 ],[0.6378776  0.2607304  0.28865834],[0.65457096 0.33831564 0.29976816],25,-0.37388038584475614,0.2960531711578369,0.052299204068201544,-0.6241120151630472,0.3590390384197235,-0.47264740596426713,"[0.9430826325623937, 0.9434260818081516]","[0.9480452369470141, 0.9469657323856047]","[0.9435538697851987, 0.9423456211833988]","[0.9261566194946406, 0.9315630579292663]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,1,2,[0.64455325 0.6390598  0.82115656],[0.58882122 0.58723276 0.80089886],[0.22668846 0.44605932 0.7321676 ],[0.41169576 0.55767507 0.69686629],16,0.39654963875036614,0.13852787017822266,0.66627834868936,0.4210633351688136,0.11971408128738403,0.6889594788957014,"[0.8742688963098724, 0.8953653047948426]","[0.8770799844664063, 0.8976734737666386]","[0.8601926973028947, 0.8863686497910176]","[0.8741613755490384, 0.8941787189574276]"
