num_hidden_units,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,0,2,[0.83578705 0.79428884 0.74093244],[0.79089414 0.74409561 0.69932127],[0.8290189  0.7934675  0.83358212],[0.74023127 0.87502571 0.82835662],16,0.7219157357068653,0.05316948518157005,0.9669467729430727,0.6845538170368938,0.049762725830078125,0.9600434732111213,"[0.5088480895399005, 0.9967361076356983]","[0.48833297027170136, 0.9967428765414722]","[0.6704699525561525, 0.9967424853384007]","[0.5598062075882299, 0.9973071877910801]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,0,2,[0.85870053 0.83200248 0.66759049],[0.82539305 0.75798175 0.61379213],[0.74670548 0.8140134  0.78784167],[0.72960979 0.78119961 0.79119227],1,0.34943743438694025,0.12224471569061279,0.7304232039992247,0.5117709400595365,0.10791529715061188,0.7476530794204816,"[0.9585576020678251, 0.763805492750299]","[0.9630805487011713, 0.7084215752703636]","[0.9403452232097544, 0.9226544572194754]","[0.956441954790029, 0.8878546501721715]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,0,2,[0.67559936 0.77874123 0.53534536],[0.57698052 0.65908615 0.47266066],[0.73341387 0.81808203 0.72013607],[0.83089346 0.7444617  0.75206591],25,0.07048135150172867,0.1481815129518509,0.6126082772178503,0.3158614792450734,0.15824353694915771,0.6648486660771962,"[0.4980601926559827, 0.5257933695199287]","[0.48458366563664373, 0.5181842301214666]","[0.5182032493407364, 0.5820919196227975]","[0.5145446085728036, 0.5885214293071998]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,0,2,[0.91138003 0.86239998 0.79572535],[0.88304095 0.80708213 0.75233133],[0.86322857 0.87584245 0.81923349],[0.84522311 0.83445561 0.84447568],16,0.6569468367110335,0.059159014374017715,0.786792073838819,0.792380999652485,0.05760902166366577,0.9560007049412914,"[0.9178422510691596, 0.9002216079433397]","[0.9134584048679324, 0.8869026516713551]","[0.9434830055897009, 0.9468157460956167]","[0.9367211518135551, 0.9614602976434563]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,0,1,[0.86065816 0.78182347 0.95297227],[0.9023236  0.73685313 0.94675621],[0.52323026 0.84553788 0.93490081],[0.62840654 0.84561207 0.95086834],9,0.8566181752654618,0.0598568320274353,0.9377854851189872,0.8077798757995804,0.05130796879529953,0.973692002757695,"[0.5405290411273436, 0.9958975944967138]","[0.5571933550595319, 0.9961267548835034]","[0.53444574767843, 0.994264642118305]","[0.5064723510937509, 0.9973538083805682]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,0,1,[0.84271193 0.73115286 0.84642817],[0.88513139 0.65942924 0.90041812],[0.47796267 0.44042004 0.56465621],[0.58997192 0.49486294 0.6577739 ],4,0.20685288939428348,0.12779927253723145,0.6764126436242412,0.09212196775147789,0.13311266899108887,0.7617802671370054,"[0.6290136604292945, 0.6560951246471812]","[0.6285442517573822, 0.6572611937954875]","[0.6642231814797501, 0.6932726056497854]","[0.6184445022340804, 0.6524011937055518]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,0,1,[0.78865565 0.83733248 0.83936231],[0.76291071 0.78495953 0.83147566],[0.81825539 0.51520833 0.85375786],[0.84423541 0.64982108 0.85112988],25,0.2092909249503748,0.13601620495319366,0.7963329301424278,0.060409532641352515,0.17627990245819092,0.6904562602486346,"[0.7194977640070555, 0.8229239219707133]","[0.7179602152925965, 0.8183232675777946]","[0.7254507296342808, 0.8428778970480656]","[0.7132306452917442, 0.8216059862305425]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,0,1,[0.93185016 0.84872165 0.72515961],[0.90771543 0.87928653 0.67960922],[0.9056889  0.50900921 0.78700305],[0.93377073 0.62981125 0.81015211],25,0.5162066681274261,0.09308303892612457,0.89061282569911,0.5632608454119756,0.07516121864318848,0.8854000239834414,"[0.9611097531847732, 0.9287098175236914]","[0.9525132162534935, 0.9132050746021676]","[0.9734627353525717, 0.9576557402688494]","[0.9719928238428245, 0.9459238946042579]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,1,2,[0.95321234 0.8272829  0.96772872],[0.94594889 0.75709279 0.95713431],[0.87426842 0.84355456 0.96837857],[0.88146779 0.87305664 0.9662367 ],25,0.8267689810707829,0.06799805164337158,0.9694113293279374,0.8228075483742475,0.04539814963936806,0.9674419606791538,"[0.8861475029304473, 0.8781447449316978]","[0.8839395154090465, 0.8766658124834806]","[0.9289899221922685, 0.9227579712414418]","[0.8930140048324734, 0.8839312264637403]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,1,2,[0.91587909 0.81239915 0.94271558],[0.915309   0.74065472 0.9283067 ],[0.85512387 0.85201771 0.91605684],[0.88756922 0.80380686 0.94700118],25,0.24269672917141624,0.12072145938873291,0.8567792043025193,0.6213693658650223,0.11973916739225388,0.8773200052626587,"[0.9582221366968279, 0.7657976916006178]","[0.9622351217297386, 0.7065308846393806]","[0.9363490353184672, 0.9338045334102318]","[0.9564024157623697, 0.9085988553124484]"
