mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr
mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,0,[0.02887121 0.04693911 0.02894813],[0.38214063 0.6426189  0.51318218],[0.27586777 0.37728637 0.42225429],[0.39306877 0.3822121  0.37592637],25,0.7954023898791786,0.08959424495697021,0.7818928962423313,0.7903125662503568,0.09766539931297302,0.7940750912481487,"[0.9392403194398637, 0.9102786890447352, 0.8005010409502393, 0.935812656091008, 0.9219290882244084, 0.5394385732822056, 0.9147014196791445, 0.960107156206906, 0.8310734111461653]","[0.9422956031746377, 0.9092812517281446, 0.8033994346847121, 0.9373454982448532, 0.9213406935680127, 0.5363155781181779, 0.9144135933654323, 0.9627607824730031, 0.8349391522480165]","[0.9420761543631275, 0.9339938491560884, 0.8022907416169275, 0.9481612820582583, 0.9307614221886473, 0.5557482457592489, 0.9299481514899101, 0.9607868935151901, 0.8478790037336896]","[0.9311617960242158, 0.9010882261049101, 0.7959214830092389, 0.9232793690184742, 0.9180351715811677, 0.5414919163555878, 0.9055785512833274, 0.9527662487494012, 0.8081631798868024]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,0,[0.02235276 0.01494385 0.08473843],[0.28889577 0.10459102 0.55627822],[0.17223883 0.20455108 0.28005885],[0.26723238 0.02091942 0.46514416],25,-0.046041056100360134,0.3674149513244629,-0.021620830856662998,-0.0931826870227704,0.3598792850971222,0.04308992017245816,"[0.32428314861282, 0.468727961936992, 0.3178264187692036, 0.39869089659904233, 0.1120029729915551, 0.30334023782782477, 0.3582994542936046, 0.3680681461466396, 0.2595014830741849]","[0.34009010671208606, 0.4881764566051538, 0.3475556907845955, 0.4150450667492816, 0.11104921053021999, 0.32853075633346496, 0.38038859931206037, 0.382516082894795, 0.2898021497391067]","[0.3017060375179604, 0.45780752816410686, 0.30493946178975084, 0.38069532188073907, 0.11573044137182248, 0.2775395055541476, 0.35756434560760936, 0.358142602148268, 0.2081836806433296]","[0.2732735309077093, 0.4118783449869698, 0.23821199980807434, 0.361715836225892, 0.11967047342531961, 0.22915031558522914, 0.28528897821287835, 0.3335068412668559, 0.2033292965091948]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,0,[0.07406248 0.01435011 0.01157289],[0.42836997 0.04257437 0.26375949],[0.2377916  0.19937735 0.22137833],[0.29626873 0.01772147 0.14759656],25,-0.2754304697639776,0.48338478803634644,0.11833414498666484,-0.5990147296118205,0.5124994516372681,-0.273091004656971,"[0.5518453259031828, 0.2973005236398814, 0.14612913892670365, 0.4735478523762423, 0.5570825608957439, 0.46092826846324914, 0.48742874337415343, 0.6892507901620972, 0.3290809298158124]","[0.5654260259750195, 0.3010125904454928, 0.146862164960869, 0.4915076050030004, 0.5607485575922321, 0.48650816493110893, 0.4902636954503739, 0.7459379171294871, 0.34814949245285975]","[0.5838247674788424, 0.3279190862581661, 0.17904677324742269, 0.4881762284050725, 0.5824388774587845, 0.4675460111897015, 0.5015832634334486, 0.6954093464323878, 0.37469804242583393]","[0.49446313139019965, 0.25786716518372604, 0.11980607514503322, 0.4365464054650021, 0.5316741296690699, 0.4076599853229663, 0.480266399020128, 0.5836205850111369, 0.26395360823531167]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,0,[0.02378581 0.10231907 0.01351244],[0.42474733 0.56585988 0.31596779],[0.39015283 0.29645105 0.26501303],[0.35122856 0.4204797  0.21193976],16,-0.12342378356953236,0.35024917125701904,-0.0998041118138111,-0.35949329617574516,0.36810535192489624,0.05299802118042518,"[0.7207360542313028, 0.7457795629509186, 0.6754181733147393, 0.7366817882005382, 0.8440140835618848, 0.7314490785058863, 0.7411099341180531, 0.5890385318226694, 0.7268735069459908]","[0.7374979982226, 0.7640814905522251, 0.6887011591876113, 0.7463739948885555, 0.8558248631781087, 0.7576826526361808, 0.7601451749038494, 0.6011112742552501, 0.7473976606341037]","[0.69300481739074, 0.7208538199855686, 0.6398640201584616, 0.7251181175904085, 0.8409066822214164, 0.6725520031011333, 0.7091610668671924, 0.5933713139648594, 0.6778050198101594]","[0.6764241287868893, 0.6976796446537418, 0.6489049918928455, 0.7057353060391998, 0.798948443905879, 0.6845598472690767, 0.6911808275941806, 0.5454403270906679, 0.6865852053375834]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,1,[0.0746557  0.05730732 0.11839505],[0.81260184 0.34077858 0.9140716 ],[0.45799102 0.28770769 0.71583542],[0.74028924 0.3144818  0.84961244],16,0.5130546965565395,0.1284421682357788,0.5043855676735148,0.7012408317526747,0.09717977046966553,0.7277440864467178,"[0.9351365610672686, 0.9509881525638408, 0.9702417006091139, 0.9584375701588834, 0.8640454102475386, 0.6597275107541177, 0.8638209015803482, 0.9484763288302528, 0.9408556849623616]","[0.9341091020894409, 0.9515330622095319, 0.9714885359970433, 0.9597896312926741, 0.8686988959856132, 0.6495786382205739, 0.8634342829893253, 0.9473446203277698, 0.9402899272759903]","[0.9391935070164512, 0.9472761655757734, 0.9659881418665126, 0.9515591764219447, 0.8569600967005948, 0.7075037429874651, 0.8698805169065378, 0.9451463755462821, 0.9415750770425775]","[0.9368775327005423, 0.9527933617322799, 0.9701802406620221, 0.9596514205387016, 0.8569608044152393, 0.6630773899411995, 0.8644624144952768, 0.9541120712303968, 0.9428032745294385]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,1,[0.068695   0.02184642 0.15041716],[0.8896441  0.32950752 0.83539046],[0.55096506 0.26861494 0.62879475],[0.81777283 0.31639191 0.7429782 ],25,-0.0014383246809387777,0.2351135015487671,0.36303202742202645,-0.016428348547715837,0.22608865797519684,0.5323754321362313,"[0.44182419389075883, 0.5147453166081228, 0.6941865250142252, 0.546117567938477, 0.4675985008093195, 0.627035281665742, 0.5152452355187511, 0.5636546305791623, 0.5446827448368714]","[0.4477705612082315, 0.5071224505618247, 0.678535011913029, 0.5195629246311134, 0.4814427780100369, 0.6248239556812732, 0.5022362228191211, 0.5405573683419149, 0.5519024496019795]","[0.5084420779019889, 0.5759419214221492, 0.7228348900711058, 0.6292765312600097, 0.570577691317892, 0.6921537986158042, 0.5587741207084502, 0.5814508990549192, 0.6540957177142037]","[0.4051508292242631, 0.51025828107565, 0.7212128871763824, 0.5732284740957923, 0.40014239192654355, 0.6142904789752852, 0.5490257338461395, 0.6045967833884038, 0.4891297149362262]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,1,[0.05396541 0.0342703  0.06018784],[0.37130948 0.61898057 0.42226027],[0.35803925 0.49282569 0.42249062],[0.40398892 0.57171725 0.43818787],25,-0.44342960644532753,0.41960853338241577,0.16070507412307566,-0.5569026971574621,0.41532835364341736,0.03284303321625759,"[0.6372194823226054, 0.3431882428990879, 0.35672908384988433, 0.6862979828437699, 0.24184769849257204, 0.37903093478596345, 0.20021240791060035, 0.6149858073987029, 0.33057501283521923]","[0.6211627880236639, 0.34788124790142794, 0.34949564473713207, 0.6933188302574133, 0.23992983634867115, 0.3885004497850165, 0.21075720640241885, 0.6123657424071592, 0.3311069121818345]","[0.708328951063657, 0.3343871511846629, 0.40507974005352193, 0.686859473701068, 0.263150373151226, 0.3413205681963521, 0.20773517228320915, 0.6344601116933447, 0.32250306838142934]","[0.6921640838426694, 0.31411959727789635, 0.3727911804177651, 0.641784901703571, 0.2570629024225822, 0.3655862604244114, 0.16023964760098464, 0.6197878012641866, 0.33621577464676083]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,1,[0.1314884  0.15256935 0.07624991],[0.91180099 0.84599518 0.33506374],[0.76286974 0.65804252 0.29150799],[0.87087794 0.76686608 0.35083563],25,0.09908117859733727,0.25771617889404297,0.33735564584323163,0.13945418642905882,0.2280890941619873,0.34452085298900503,"[0.6351583505642109, 0.8306276659862932, 0.8585081875234106, 0.9122259228247692, 0.9043750250525281, 0.46935240489086405, 0.7364716496086674, 0.7210754300566571, 0.9037580051768958]","[0.63811230533334, 0.8285914931710938, 0.8591699844315228, 0.9152382587455119, 0.9086260253658054, 0.46627110742956734, 0.736684912164177, 0.7288369022696553, 0.9060741655792126]","[0.6409596805840371, 0.8310583705028332, 0.8561790883677932, 0.9035435391112214, 0.8927402849302719, 0.47638265131489316, 0.7149720875494789, 0.7108213085436161, 0.8948671511735554]","[0.6357881650769936, 0.839166889640147, 0.8614566012690538, 0.9114087756307143, 0.9036775981750372, 0.4828788580402882, 0.756816413840404, 0.7083933878750828, 0.9051896541467634]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,2,[0.0396968  0.08611409 0.11682613],[0.46643409 0.32714035 0.57207336],[0.18161087 0.23911408 0.27614204],[0.30050284 0.25411585 0.46135487],25,0.39001169073322356,0.3575395345687866,0.14824384466092966,0.3483258656083279,0.3397364616394043,0.20596131179059973,"[0.5523686385558995, 0.09088012539887885, 0.4978429811372673, 0.6254047438277781, 0.5569109762451712, 0.7476249375470284, 0.5123715856372602, 0.3922523874028793, 0.535330558258162]","[0.5570707994791285, 0.0916252745025311, 0.5031695014472259, 0.6330635140960679, 0.5660466719380992, 0.7557029915154291, 0.5166734152603625, 0.4069555218293477, 0.5356093745480037]","[0.5404902558941245, 0.08718677149600529, 0.4877262409738008, 0.6158724400605106, 0.5341587971578661, 0.7099677988362464, 0.5306767837423236, 0.3986187984541869, 0.5422122238259885]","[0.5484260451567019, 0.09344828327054433, 0.4900140876285284, 0.604392323529011, 0.5443718671019433, 0.7524432386280131, 0.48929890754560185, 0.33683948768836963, 0.5347457517150198]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,2,[0.04198998 0.21939857 0.14007832],[0.48847266 0.48879313 0.86615532],[0.16301994 0.44916613 0.83198037],[0.41112089 0.5362748  0.87660725],25,-0.32726429527888695,0.21264564990997314,0.5312882879211783,0.02768335682360105,0.20133061707019806,0.6014380488699236,"[0.8802658476317575, 0.6479761840483429, 0.6359687640553121, 0.5420989089373337, 0.589222382727685, 0.7351275415067748, 0.5874555648772465, 0.7229777588857519, 0.6915981188104209]","[0.8797505933073473, 0.6452606340137235, 0.6100827333064347, 0.5402173457885002, 0.6045565585607682, 0.7265040158833346, 0.5714706703895003, 0.7111976639685571, 0.6787008240959329]","[0.8821294592408544, 0.6328178000203479, 0.6907134596226558, 0.5303514576684027, 0.5408081661127457, 0.757924188474661, 0.5984559015155271, 0.7630766421268869, 0.7125830857236861]","[0.8869395247792737, 0.6587954052036148, 0.7098708986732449, 0.5601927254550165, 0.5993389331532266, 0.7751335966173212, 0.635356709660011, 0.7469555185818518, 0.7290683465393966]"
