n_components,metric,n_jobs,logdir,algorithm,n_neighbors,steps,min_dist,offset_left,offset_right
n_components,metric,n_jobs,logdir,algorithm,n_neighbors,steps,min_dist,offset_left,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,0,1,[0.31556658 0.27308576 0.7457738 ],[0.25287224 0.27603324 0.73538311],[0.15037603 0.14010418 0.65171868],[0.20166685 0.20271968 0.68455184],16,0.160507954256683,0.14744222164154053,0.526646597821347,0.4264519391348333,0.11282312870025635,0.6574034977002768,"[0.9879723610174208, 0.9914256243464652, 0.9902232774171713, 0.9867953435873402, 0.9918686486878026, 0.9868522461436512, 0.9902844953641562, 0.9895412409649453, 0.990078033940194]","[0.9887356167812869, 0.9905359675660734, 0.9903357997120368, 0.985711381112091, 0.9919887874275917, 0.9856472390690856, 0.9901340527705706, 0.9882771221409055, 0.988779347122742]","[0.9814310470346361, 0.988944497758934, 0.9829395071912921, 0.9834032601673734, 0.9864386094364594, 0.9849570601665057, 0.9847201410643394, 0.9870128349785561, 0.9896909494741981]","[0.9904992192659254, 0.9962592357941045, 0.9953735103939056, 0.9931084058405278, 0.9956951892531247, 0.9922961303280932, 0.9950105853936131, 0.9956739378476519, 0.9946983934523589]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,0,1,[0.07529039 0.39795127 0.01670647],[0.0896198  0.41212424 0.00797203],[0.01140742 0.13357406 0.06674753],[0.07587384 0.18941025 0.06521712],16,-0.2738030879214752,0.2864503264427185,0.04432657972399323,-0.2731882006137245,0.28615784645080566,0.29428027240177723,"[0.487712514268733, 0.9095149296714518, 0.9191782284240322, 0.5562824698799105, 0.9262738305177591, 0.9186301594576811, 0.6109906026011787, 0.8831666359689255, 0.8888633488737789]","[0.47818375185303236, 0.8988228537254892, 0.9055247472044108, 0.5449992103839334, 0.9170355023989062, 0.9049420673699016, 0.6055252591576399, 0.8723025176022188, 0.8757351278820631]","[0.5682884803644661, 0.9542790500692138, 0.9445489339669796, 0.6312438976812497, 0.945365265112013, 0.9237916507206438, 0.6116030780874628, 0.9110805229198448, 0.9165387666228024]","[0.47805566514650555, 0.9148089084992818, 0.9464955191611595, 0.555172613584465, 0.9433627379472618, 0.9592439991453308, 0.6260840943677101, 0.8996170487546961, 0.9129519957200024]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,0,1,[0.294738   0.45698358 0.08122502],[0.29541879 0.46211231 0.14095755],[0.14786517 0.13737917 0.01373618],[0.20157244 0.18802288 0.04333718],25,-0.5470073576262311,0.449788361787796,0.0831173938141474,-0.51170161841381,0.42556124925613403,0.09954299286399049,"[0.6927431327015463, 0.6583981845620959, 0.6134749523407966, 0.6586036292241243, 0.6621126105679953, 0.4007863136548899, 0.49602131939497024, 0.6254544266798657, 0.6739586544316069]","[0.6829434887868506, 0.6645886787546568, 0.605781987173189, 0.6684308464212012, 0.6691091570908815, 0.4001682194499407, 0.4961777353867543, 0.6311606872492712, 0.6802835329032748]","[0.7474308005540624, 0.6346767074911476, 0.6197687563064286, 0.6184675180047623, 0.6306951567052959, 0.39320420734118167, 0.5063059850011481, 0.624201177783611, 0.6830939435324204]","[0.7193630458827189, 0.6446956577209544, 0.6729295282380032, 0.634105802315939, 0.6495989820390419, 0.4133436757147078, 0.49238212273532483, 0.5981403699225254, 0.6441260630150712]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,0,1,[0.83910708 0.21139234 0.45266184],[0.80032958 0.16322    0.35799664],[0.71897318 0.16321799 0.28815735],[0.69673918 0.26094252 0.29044423],25,-0.05441777592738939,0.4146508276462555,0.1528045821862163,-0.09272782916644617,0.4219573736190796,0.012216278492008681,"[0.9661986530768254, 0.9657850442513498, 0.9664080519876863, 0.9663111654900474, 0.9664319878828407, 0.9656765089723239, 0.9703236446628041, 0.9686455097895237, 0.9643329923835376]","[0.9651636260606637, 0.9650109022549601, 0.9667507433264909, 0.9660382565554071, 0.9663016500788779, 0.965072758084311, 0.969095724438934, 0.9674660381786516, 0.9607399632583181]","[0.9652216629665296, 0.9701415846709307, 0.9647216497582456, 0.9683068189383515, 0.9618274835746495, 0.9681103169534649, 0.9734533237046915, 0.9708938842656696, 0.9686163052673366]","[0.9682483151553531, 0.9629533983839074, 0.9658405360230382, 0.9637761251881174, 0.9693024816879023, 0.9636090625334381, 0.9696171410384311, 0.9687389789467498, 0.968796701945827]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,1,1,[0.52674583 0.19383887 0.77836301],[0.43659853 0.23913586 0.76769617],[0.29508217 0.09065027 0.6923368 ],[0.41729344 0.09069392 0.70756267],25,0.1877222208270001,0.13476693630218506,0.5509495077545339,0.43569114315508034,0.11395448446273804,0.6634536934035352,"[0.9879851180787528, 0.9880433529221764, 0.9867506499485456, 0.9890872203277401, 0.9887706982284509, 0.9908218491033534, 0.9878302180897625, 0.990254593272166, 0.9899014791903477]","[0.9887246780495951, 0.9865849460090061, 0.9871319249964503, 0.9883667970322483, 0.9878546533685038, 0.9899693629252067, 0.9881776614028047, 0.9903749455852187, 0.9891294738698182]","[0.9815169797944239, 0.9890537253626469, 0.980111918508475, 0.9844912351185445, 0.9865612280198826, 0.9890259984687084, 0.982236901065685, 0.9869204009124597, 0.9883013152862302]","[0.9905054226171639, 0.9920545808079548, 0.9904065004944153, 0.9949096346267047, 0.9935409091812905, 0.9949005794522567, 0.9909194078179049, 0.9922946923271149, 0.9936221226893793]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,1,1,[0.54741018 0.14482718 0.3302643 ],[0.51198248 0.25368324 0.24545662],[0.42326994 0.06462252 0.26481059],[0.40785697 0.05111281 0.25904191],25,-0.26037082841197257,0.2574259042739868,0.30266847747831627,-0.17269920607245506,0.271484911441803,0.38060888296809736,"[0.6013088324453006, 0.5860995039808099, 0.5943404141846158, 0.9410348324902162, 0.5862131241992159, 0.5541341969879767, 0.48210173704896475, 0.6028740904438906, 0.5664518594237207]","[0.592177940380339, 0.5841514667910062, 0.588975189249635, 0.9393216564417368, 0.5830581514389344, 0.5401827816513587, 0.4869288657568351, 0.6033165093130761, 0.5626336205431282]","[0.6818327385767389, 0.6633852378622122, 0.6794075734436654, 0.9381625400164126, 0.655148023800702, 0.6274637079088718, 0.5167310197742896, 0.6651004682496019, 0.6426896789724919]","[0.5859248207091705, 0.5487095834577105, 0.565145560545763, 0.948214352553125, 0.5579869118940882, 0.5603471103426136, 0.44747931422489945, 0.5675013286046297, 0.5373781448178403]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,1,1,[0.23951905 0.29318892 0.05764157],[0.25158931 0.29145369 0.08243235],[0.34029724 0.15502628 0.20707572],[0.26531913 0.21843841 0.14856995],16,-0.42004842950886107,0.426902711391449,0.09880155446212924,-0.5020117604371418,0.39500731229782104,0.05396735012010423,"[0.7025805630336497, 0.6234331063363607, 0.722214622860768, 0.5713893245435544, 0.6041965630916463, 0.4769245502098442, 0.4323590530075915, 0.6959342452930661, 0.6547688651825986]","[0.6919361712730175, 0.6298938775492584, 0.7113390003292692, 0.5784708654638601, 0.6125184455537165, 0.4779915772908073, 0.4296122240626763, 0.7063358105652628, 0.6589137285235794]","[0.7572806888250389, 0.584076037881445, 0.7192107009633614, 0.5278309908104726, 0.5540183730502702, 0.4509316262718873, 0.4565854177437198, 0.6303282132272625, 0.621394247195019]","[0.7346830876940822, 0.6200818777393109, 0.8126338875861554, 0.5695718695557648, 0.595638600839252, 0.4901159141116479, 0.4402667097325751, 0.6836787346676848, 0.6661282101052335]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,1,1,[0.84724189 0.30712035 0.33348801],[0.8051045  0.24055931 0.31226971],[0.73892306 0.21678957 0.19316935],[0.75366491 0.20492127 0.27899466],25,-0.05276896994469116,0.43409714102745056,0.12473184462064857,-0.07705026514335193,0.42689740657806396,0.018091742066631333,"[0.9663232689168044, 0.9673973064708618, 0.9669902744711267, 0.969237257561379, 0.9670629609097496, 0.966821428776126, 0.9684182369679366, 0.9708490947198702, 0.9682679749167395]","[0.9652386884973765, 0.9687184821058281, 0.9688243798725915, 0.969916821537562, 0.9676594623075712, 0.9681330391768501, 0.9679620799040671, 0.9712871024673604, 0.9677031120676223]","[0.9652915403496776, 0.9656180487626148, 0.9605724541798917, 0.961927199790456, 0.9587027458546968, 0.9626018840941624, 0.9668524967875972, 0.9638470052005168, 0.9639872682010906]","[0.9684443135585891, 0.9638222444105793, 0.9661396585763454, 0.97218823396288, 0.970965836272186, 0.9652629249781343, 0.9694315248075005, 0.9746409432820085, 0.9719678469506484]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,0,0,[0.3531974  0.63625649 0.79017516],[0.32998974 0.80585287 0.8169466 ],[0.19917622 0.56524881 0.59795972],[0.27692198 0.05291423 0.50665535],25,0.5344482104974441,0.10274560749530792,0.6710680208663435,0.5944206482442552,0.10495750606060028,0.7720217700844352,"[0.9879723610174208, 0.9914256243464652, 0.9902232774171713, 0.9867953435873402, 0.9918686486878026, 0.9868522461436512, 0.9902844953641562, 0.9895412409649453, 0.990078033940194]","[0.9868106720244296, 0.990960419596931, 0.9887292627252151, 0.9864690054093316, 0.9918547296133946, 0.9867738841335703, 0.9892951649109918, 0.9894362103248813, 0.9897988209151554]","[0.9854832005779696, 0.988754437304235, 0.9905980601350253, 0.9763928953501564, 0.9835246867288882, 0.9789132538045563, 0.9846938854206255, 0.9850189121932307, 0.9853797963520118]","[0.993282873342336, 0.994469672507603, 0.9945535470085393, 0.9947672686101954, 0.9974889767143758, 0.9923090638558918, 0.9970828001783352, 0.9928310560967639, 0.9941065678127952]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,0,0,[0.45446146 0.68319722 0.25766204],[0.41442995 0.67613193 0.26265949],[0.27202258 0.35095761 0.11387953],[0.53762553 0.05370051 0.29343791],16,-0.31568512085341877,0.2450505495071411,0.19702419644237434,-0.24887929464309355,0.2904280424118042,0.15817567537622923,"[0.487712514268733, 0.9095149296714518, 0.9191782284240322, 0.5562824698799105, 0.9262738305177591, 0.9186301594576811, 0.6109906026011787, 0.8831666359689255, 0.8888633488737789]","[0.4968267315166907, 0.9010630594174541, 0.9194459450886447, 0.5651096714669284, 0.9214181447262562, 0.9172643179001824, 0.6080617857087656, 0.8750241288118618, 0.8883523851493155]","[0.43725608748151645, 0.9157221537370022, 0.936545174835314, 0.5154202821575355, 0.9246310959985263, 0.9305683174563721, 0.6446095011289041, 0.9012399067422783, 0.9188484451726113]","[0.4839751099962147, 0.9277067018353464, 0.904869736249881, 0.5494841959330291, 0.939537862317853, 0.9157958575105893, 0.5889436169474512, 0.8922540207083911, 0.8688459949823444]"
