num_hidden_units,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,C_svm,valid_total_r2_svm,valid_position_error_svm,valid_position_r2_svm,test_total_r2_svm,test_position_error_svm,test_position_r2_svm,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,0,2,[0.97108524 0.96208247 0.84487824],[0.97539117 0.96776312 0.84053017],[0.66017861 0.70212119 0.65476832],[0.82994467 0.81829803 0.6786454 ],25,0.6329027674974879,0.06932473182678223,0.8722589377324729,0.6494706722373672,0.05733204632997513,0.8802542081065137,"[39.810717055349734, 0.01, 6.309573444801936, 0.15848931924611143]","[0.6352567401679173, 0.3875863941230711, -0.2537106031252856, 0.4621866056598664]","[0.07589308662794447, 0.11056308892390898, 0.15383600808685993, 0.09170460765282074]","[0.8746627187325218, 0.6513528995454272, 0.12761059116554285, 0.5172947247792261]",0.6589762966956693,0.0657493377104732,0.8629427770260869,"[0.9696541103498867, 0.9647394185555423, 0.9672704070109841, 0.967667879513555, 0.9699667929271355, 0.9617796874344907, 0.9710253752290536, 0.9685941385884945, 0.9642233547365816]","[0.9960599756380638, 0.9955168326177647, 0.9956527703990843, 0.9950854803120895, 0.9956991175418747, 0.9962183976504883, 0.9957238954104491, 0.9966703391290279, 0.9961767866176351]","[0.910211935577569, 0.9001744695135018, 0.9018451018624164, 0.9049664216371905, 0.9220631802995437, 0.8878851056507457, 0.9230077945097074, 0.902500759030913, 0.8978817476799307]","[0.9238527567287802, 0.9028923974801376, 0.9211577372378369, 0.9232673840589513, 0.9157520164886805, 0.9039098924085439, 0.9205795186169339, 0.9203035326446743, 0.9057683537934412]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,0,2,[0.97946938 0.94561106 0.8955023 ],[0.98567556 0.96940428 0.92845648],[0.77866159 0.58882036 0.55631583],[0.85913246 0.7313026  0.65473419],25,0.3519291143696008,0.10938942432403564,0.6039248088565188,0.4520082119268752,0.10256952047348022,0.7030693682368506,"[39.810717055349734, 0.01, 6.309573444801936, 0.15848931924611143]","[0.6352567401679173, 0.3875863941230711, -0.2537106031252856, 0.4621866056598664]","[0.07589308662794447, 0.11056308892390898, 0.15383600808685993, 0.09170460765282074]","[0.8746627187325218, 0.6513528995454272, 0.12761059116554285, 0.5172947247792261]",0.45378230189799695,0.10426198910129628,0.7142483544044727,"[0.9354634392174696, 0.6315591991751089, 0.679129336398975, 0.9299911426298816, 0.6314176254173717, 0.6529803105128651, 0.662169894470015, 0.6208440200568567, 0.6461773006114606]","[0.9713090875316128, 0.6596800396956238, 0.7158820754420393, 0.9634149127377808, 0.6772855782204652, 0.6945714104533615, 0.6988509680228775, 0.6546373893947527, 0.6859923121551855]","[0.8539837574898268, 0.5654605874374578, 0.5954279459098276, 0.8491604856048527, 0.5393251682655588, 0.5275653775714764, 0.552208571781622, 0.5164131495978966, 0.5433286140208663]","[0.8597116099641141, 0.5919953699487366, 0.6200295930739577, 0.8621554863861567, 0.5517718236219107, 0.5994163536016024, 0.6108745959986909, 0.5805006557004161, 0.5850453037813726]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,0,2,[0.97910164 0.95474332 0.85537745],[0.98494467 0.96951618 0.86061428],[0.76852998 0.52600589 0.52846489],[0.87251563 0.73172255 0.61110212],16,-0.24030296244786986,0.1838628351688385,0.12984040840509048,-0.19508495494335484,0.21087968349456787,0.02009787784085315,"[39.810717055349734, 0.01, 6.309573444801936, 0.15848931924611143]","[0.6352567401679173, 0.3875863941230711, -0.2537106031252856, 0.4621866056598664]","[0.07589308662794447, 0.11056308892390898, 0.15383600808685993, 0.09170460765282074]","[0.8746627187325218, 0.6513528995454272, 0.12761059116554285, 0.5172947247792261]",-0.1956087988481532,0.13756489142329786,-0.03335209205116629,"[0.7552690336589905, 0.7624886289990553, 0.7681077192128756, 0.7208800799233215, 0.7548559699143415, 0.7451704213147609, 0.7572869943894549, 0.7312650667057928, 0.7302050279063049]","[0.8473213340696129, 0.8494698149747295, 0.86055334460151, 0.8083523812816292, 0.8510573577310812, 0.8349586134253769, 0.8448564833609322, 0.8200789204565174, 0.8199171600621736]","[0.6138886241587885, 0.6210518741384575, 0.6210537677324378, 0.5960003314109132, 0.5928801476599029, 0.6075038075627436, 0.6085523514107926, 0.5670424591403324, 0.5799951647525612]","[0.5666897173215172, 0.5876534090769506, 0.5847278322771934, 0.5451624647857352, 0.5705490524002671, 0.5700179310275083, 0.5887401361141623, 0.5758341579140155, 0.5665108912290647]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,0,2,[0.96691484 0.95718442 0.92240129],[0.96801457 0.96409158 0.93482121],[0.8525741  0.63216645 0.63807196],[0.92549377 0.78658575 0.76858233],16,0.446965668635169,0.09046021103858948,0.5047670025808009,0.5527595394246013,0.09002304077148438,0.6280532169342257,"[39.810717055349734, 0.01, 6.309573444801936, 0.15848931924611143]","[0.6352567401679173, 0.3875863941230711, -0.2537106031252856, 0.4621866056598664]","[0.07589308662794447, 0.11056308892390898, 0.15383600808685993, 0.09170460765282074]","[0.8746627187325218, 0.6513528995454272, 0.12761059116554285, 0.5172947247792261]",0.5590762920630757,0.09028352841420328,0.6282093934879193,"[0.9326924889734496, 0.8181923175783511, 0.834670032821589, 0.8177848362274182, 0.802852557550343, 0.8309677970558548, 0.81710573885764, 0.8209830788803627, 0.8079720184903995]","[0.9669640824821567, 0.8523047366894475, 0.8661822638356874, 0.8498624544104677, 0.8372990211460261, 0.8698124221730746, 0.8480441971853532, 0.8484175444837562, 0.8372480729009618]","[0.840512028065925, 0.7330295772841063, 0.7365232761721151, 0.7167638810216244, 0.712506901019489, 0.7195530859938746, 0.7238317075126385, 0.7617649283120894, 0.7141471219019682]","[0.8237319051635411, 0.7036167528561648, 0.7469727819512911, 0.7372140174312866, 0.6945982363515456, 0.7129133041556502, 0.7335806999504912, 0.7214022294954098, 0.7317011373820357]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,0,1,[0.91609691 0.95979874 0.84211025],[0.94732708 0.96150776 0.89040648],[0.53215601 0.74679889 0.60326001],[0.69386945 0.76799787 0.60874243],4,0.71587529357212,0.0640166774392128,0.7640296958044706,0.7722752159986551,0.0489811897277832,0.8368436405926191,"[0.15848931924611143, 6.309573444801936, 100.0, 0.15848931924611143]","[0.7254693343292663, 0.29503314518169477, -0.024388958260156707, 0.2151664212888805]","[0.06555557297398107, 0.12844243893936058, 0.12021964091798215, 0.14274218769697666]","[0.7975901421918913, 0.4114152650609709, 0.3676403213529613, 0.43560919625909533]",0.7593088866161938,0.05080396041816104,0.849946451676928,"[0.9753444493091966, 0.9771440475348637, 0.9734682686457234, 0.9744026336317222, 0.974949750862886, 0.9744487052606798, 0.973794794608755, 0.9756668721229858, 0.9756703601478925]","[0.9964633679921434, 0.9955925306538752, 0.9964818632747674, 0.9959818518243555, 0.9951784253551459, 0.9967511521341149, 0.9957894004633112, 0.9965633957101566, 0.9963104627192414]","[0.9183893899091541, 0.9368784720919497, 0.9003222466092818, 0.9093353196791916, 0.9260720084338949, 0.9141312091040305, 0.9145018360555582, 0.9238965309223283, 0.9184297300224807]","[0.9530696829468891, 0.949845221461891, 0.960952278997857, 0.9596753434407659, 0.9491953777477447, 0.9515851327646562, 0.9513456223955042, 0.952386208554624, 0.9558026995190053]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,0,1,[0.91409144 0.93747952 0.86023871],[0.95542448 0.95552835 0.9153148 ],[0.44886731 0.51081213 0.41027515],[0.73763784 0.6475776  0.49519678],16,0.2680348127388367,0.12487661838531494,0.4031019739414766,0.26215091830217424,0.1272265911102295,0.632113535008991,"[0.15848931924611143, 6.309573444801936, 100.0, 0.15848931924611143]","[0.7254693343292663, 0.29503314518169477, -0.024388958260156707, 0.2151664212888805]","[0.06555557297398107, 0.12844243893936058, 0.12021964091798215, 0.14274218769697666]","[0.7975901421918913, 0.4114152650609709, 0.3676403213529613, 0.43560919625909533]",0.2807304029014881,0.12184396445045431,0.6368981635790818,"[0.8995932063518183, 0.8610617492316762, 0.9005151925055864, 0.8792508081725615, 0.8353166910080496, 0.8930266385374431, 0.8671781020516586, 0.8954695144856042, 0.8952572893637264]","[0.9627803918195426, 0.9211536088787398, 0.965701769904117, 0.9483824201515708, 0.9139788690877101, 0.9594457051374649, 0.9301057978789605, 0.9587056744611906, 0.9605181083540725]","[0.7596609535283578, 0.7220402663157, 0.7519425986011327, 0.7140469289768804, 0.6864091403579837, 0.7460288365014326, 0.7319209128725559, 0.7276465741692744, 0.7276375428630998]","[0.7947019781372976, 0.7650215221325176, 0.7995225279787981, 0.7705044127587168, 0.7096796830121841, 0.7812720915769452, 0.7633255261150721, 0.8079366156687094, 0.8041373346494488]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,0,1,[0.92037831 0.90720183 0.81962392],[0.93401681 0.93996239 0.86055029],[0.65751222 0.41984339 0.51170023],[0.68640157 0.58318627 0.53764554],16,-0.017333365068320467,0.15227048099040985,0.38674386579203446,-0.1865659209381955,0.19996270537376404,0.23519139977517378,"[0.15848931924611143, 6.309573444801936, 100.0, 0.15848931924611143]","[0.7254693343292663, 0.29503314518169477, -0.024388958260156707, 0.2151664212888805]","[0.06555557297398107, 0.12844243893936058, 0.12021964091798215, 0.14274218769697666]","[0.7975901421918913, 0.4114152650609709, 0.3676403213529613, 0.43560919625909533]",-0.19274392582139768,0.1684006742759372,0.19081865618580973,"[0.7889036837572924, 0.8174361976574859, 0.7909182529303647, 0.7891249047084056, 0.8143939912245209, 0.7901260641536099, 0.8079608647043165, 0.7869477660603209, 0.806360391732745]","[0.8262630078821648, 0.8582808781420624, 0.8284528649422822, 0.8243114536786692, 0.8566962075618013, 0.8301213511251656, 0.8510287424811837, 0.8275558397928249, 0.8457324723889116]","[0.6572821598641959, 0.6796155398705629, 0.6577770882309246, 0.6708091718785884, 0.6747223881120599, 0.6578755481965568, 0.6789165716218184, 0.6622433868960642, 0.6859977787683578]","[0.6416619418504562, 0.6448085893147643, 0.6422705033625772, 0.6432049370784981, 0.6368160712886585, 0.6279958781910232, 0.6200027293831921, 0.6194472426787886, 0.6376008061448998]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,0,1,[0.87814449 0.93752871 0.95309683],[0.93316746 0.97159501 0.96700089],[0.64424915 0.47250188 0.68178385],[0.74382533 0.62187348 0.72810529],25,0.2095757078484232,0.14034411311149597,0.4046859893010556,0.2558153037391966,0.11789415031671524,0.5330910137241861,"[0.15848931924611143, 6.309573444801936, 100.0, 0.15848931924611143]","[0.7254693343292663, 0.29503314518169477, -0.024388958260156707, 0.2151664212888805]","[0.06555557297398107, 0.12844243893936058, 0.12021964091798215, 0.14274218769697666]","[0.7975901421918913, 0.4114152650609709, 0.3676403213529613, 0.43560919625909533]",0.24843120863183807,0.10984046725494112,0.5212280355299213,"[0.8675225974848776, 0.853560897075691, 0.8489094138824397, 0.8445494789506558, 0.872904753902171, 0.8591535890690675, 0.8637501826572477, 0.8429416001758031, 0.8597321367170894]","[0.9755175926806765, 0.9711391943105173, 0.9720594782020959, 0.9505993154573554, 0.9765497395171333, 0.9762956081206008, 0.9769781162162113, 0.9409589711613212, 0.963754308407944]","[0.7151941043676544, 0.6772654317878019, 0.6765608262018169, 0.6751378800520239, 0.714314776904292, 0.6796861006318636, 0.6950723739359576, 0.7085981608245367, 0.7086803947485226]","[0.7420495950364182, 0.7324433234380177, 0.7087326558494443, 0.7444397533412007, 0.7662431019120769, 0.7371532970241746, 0.7370408809065268, 0.72273390380242, 0.7456385734210622]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,1,2,[0.98379309 0.97558119 0.96591597],[0.98824499 0.98090978 0.9714506 ],[0.87139724 0.76580226 0.89818724],[0.83638007 0.84038318 0.9141696 ],9,0.5879866110604381,0.06066185235977173,0.8446476196717765,0.6132841911633572,0.057018034160137177,0.8480752724138788,"[1.0, 100.0, 1.0, 0.15848931924611143]","[0.588646419397277, 0.1307473926588527, -0.22840887281742192, 0.5553140439015877]","[0.06502483829967431, 0.10583177700199475, 0.14311672194209768, 0.09688788827863837]","[0.8559433187000854, 0.6251327542519799, 0.17818704559769483, 0.5688733034325407]",0.5984128801799115,0.0591436492105043,0.8543816777692426,"[0.9677698124624432, 0.9666732108520879, 0.9649103056388705, 0.9627295915245674, 0.9653722221602882, 0.9573266479374122, 0.9640236293186385, 0.9667302752749761, 0.9597321057986603]","[0.9957624818681602, 0.9959651472748808, 0.9964606094547269, 0.9950258082414113, 0.9957442677956537, 0.9958144275896434, 0.9949098267594465, 0.9962782835667344, 0.9956479813270797]","[0.9044399380186702, 0.9001021026832613, 0.888643631201217, 0.8898325471397688, 0.9038983882227458, 0.8692828957592417, 0.8985028801533618, 0.8968492328962063, 0.8782917628951653]","[0.9161755373023772, 0.9122115336121485, 0.9182975767907268, 0.9100421261549526, 0.9051146827176856, 0.8969531783405881, 0.9056657179443253, 0.9173571629793472, 0.9003368583241725]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,1,2,[0.97611809 0.95663538 0.9542829 ],[0.98280005 0.96396208 0.95184429],[0.8555427  0.7038305  0.83243302],[0.86319264 0.73700087 0.8524741 ],25,-6.930397047540578e-06,0.10665643215179443,0.6050182146097114,0.03783276219178163,0.10924838483333588,0.6904534274692087,"[1.0, 100.0, 1.0, 0.15848931924611143]","[0.588646419397277, 0.1307473926588527, -0.22840887281742192, 0.5553140439015877]","[0.06502483829967431, 0.10583177700199475, 0.14311672194209768, 0.09688788827863837]","[0.8559433187000854, 0.6251327542519799, 0.17818704559769483, 0.5688733034325407]",0.10498026736741439,0.10395209976747166,0.6927675911543933,"[0.9303687498863994, 0.617133013085426, 0.6614573343091619, 0.9303894231214955, 0.6228417076501027, 0.6394392435221508, 0.6502143057072229, 0.6023902963367699, 0.6372399622779251]","[0.9664882468976352, 0.6488272964681657, 0.7059960452335932, 0.9586641469809999, 0.667130182856927, 0.6845386900433154, 0.6872278003081916, 0.647553698964898, 0.6743822830097002]","[0.8442462250256989, 0.5693027379042631, 0.582986912141484, 0.8361430966489123, 0.548350064159452, 0.5361119659875212, 0.5567561590337043, 0.5213249909963739, 0.5637480611188488]","[0.8561911430270812, 0.5798645289715029, 0.5966330102440308, 0.8820899769910705, 0.5628742770862779, 0.5860489007699671, 0.6118691830669737, 0.5462067047385203, 0.5957874088087104]"
