mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr
mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,2,[0.46347266 0.29713225 0.51472233],[0.90323321 0.82543416 0.93417876],[0.891909   0.80963622 0.91622723],[0.92834828 0.86400552 0.89507468],9,0.7085542074532191,0.07772146165370941,0.8849389551111422,0.718511213720124,0.07901476323604584,0.8225900734074593,"[0.9629085335749967, 0.6962305842861105, 0.7394290606370588, 0.8607519233166162, 0.8408192249524526, 0.9435966304042408, 0.615700149609651, 0.8854779168273356, 0.9558128644730919]","[0.9609978327307565, 0.6787436796959567, 0.7095062665559296, 0.8506138563925392, 0.8256665838566118, 0.9368031619414121, 0.5899702359415726, 0.8731152433694533, 0.951646659375967]","[0.971345198827328, 0.8052844621240912, 0.8030663963478294, 0.9123040923598693, 0.8933171742858648, 0.9671369716643065, 0.6903384113579423, 0.9170733198158385, 0.9703496918773767]","[0.9668953708253848, 0.7181809734890579, 0.8031792829227825, 0.8771117401533903, 0.8756289066244549, 0.9599210177091106, 0.6867539664688327, 0.9108934099023483, 0.9665326466247881]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,2,[0.36623239 0.38897909 0.56792278],[0.73436234 0.86740054 0.91012847],[0.70031942 0.83774424 0.85977224],[0.70813103 0.90233371 0.89036143],25,0.9290997841582839,0.1431891918182373,0.8021852889759922,0.9095373354608918,0.15072666108608246,0.8047493169728202,"[0.762199646129663, 0.5723962306225412, 0.7212293955214371, 0.8057678542955731, 0.7611929836986693, 0.9071093654072526, 0.5186678658636878, 0.8123107437421855, 0.8434465075717381]","[0.7766014161688708, 0.5790293412380723, 0.7419905618298486, 0.8189920338731538, 0.7777352094354968, 0.913723662995463, 0.515549698804351, 0.8320339201122217, 0.8540574950284409]","[0.719601987577028, 0.5596669822921787, 0.6651287521663336, 0.7714896218584529, 0.7084686217034437, 0.8877605715009345, 0.5489330611982177, 0.7603553659523536, 0.8191824396185652]","[0.752538586470416, 0.5645506082332823, 0.7028736448116729, 0.7861417014793655, 0.752417254989803, 0.9017315512647028, 0.5080997316941307, 0.7868067448165135, 0.8346159817239431]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,2,[0.26455701 0.4533932  0.51718163],[0.59497362 0.88123031 0.89992047],[0.6451547  0.88086378 0.91071265],[0.71518187 0.94145442 0.93666448],25,0.9505236194476142,0.02207273244857788,0.9668166095274351,0.9456944812567359,0.021998286247253418,0.9777707333546727,"[0.5225937644741605, 0.6018436341037644, 0.88570462276596, 0.6953938950777674, 0.5637626156330664, 0.8316095691407315, 0.8171600219508901, 0.7239254795229828, 0.661047594071462]","[0.49940523144005017, 0.571777200719219, 0.8857138112995451, 0.65196534300706, 0.5371572218315073, 0.8459123681338994, 0.7897852974096109, 0.7385051096122563, 0.6259350476945547]","[0.5374088102471559, 0.6435235454244382, 0.8781721172059069, 0.7799659045858559, 0.5978764219243986, 0.7968196524878479, 0.836479255999508, 0.6944124592195292, 0.7143025804391269]","[0.612208901096002, 0.6746185742743226, 0.8883725267499085, 0.8388206414359121, 0.6375458629757871, 0.801957956023434, 0.8985496492395586, 0.6931702918779524, 0.7444907140916499]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,2,[0.37536849 0.37616342 0.3341422 ],[0.74077953 0.91179567 0.87155991],[0.75746394 0.88549894 0.87549054],[0.71910383 0.89918863 0.91221432],25,0.42484817898667976,0.11640742421150208,0.6952114728515228,0.47192767280166664,0.09985420107841492,0.8065450393705395,"[0.8731511793912045, 0.8586152978078896, 0.922744761730202, 0.5645006648473938, 0.5942444998839829, 0.6368416139292663, 0.9119754568759186, 0.7297715939905732, 0.867682985827994]","[0.864943059729602, 0.8467951630314791, 0.9214631771879398, 0.5486871608509136, 0.5784221917385, 0.6261990952626555, 0.9066051474938032, 0.7091069480869014, 0.8631826563373233]","[0.9046798707076218, 0.8921839950246364, 0.925784418500335, 0.6451350864053897, 0.6704038933659224, 0.667876599200971, 0.9316707892423446, 0.7765484439032027, 0.8860281859124242]","[0.8925745263940597, 0.8956840995863643, 0.9274950220705508, 0.6240197878251803, 0.6477617451391962, 0.6643583826343675, 0.9235026683861945, 0.8139331869130619, 0.8792599839231106]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,0,[0.01127967 0.07361209 0.01278058],[0.74393896 0.65148026 0.88575335],[0.64360851 0.63180727 0.69264073],[0.57579851 0.75874983 0.78070863],16,0.8726852426332544,0.07429299503564835,0.8881269381396076,0.8250164847279469,0.0791359394788742,0.8938691181964155,"[0.8866634244028495, 0.9705740429015172, 0.8337996740678564, 0.9118503249517536, 0.8367675676377108, 0.8418470963772193, 0.9282619638552929, 0.8603202008560716, 0.9512258926779604]","[0.9105724578818538, 0.9773501689339223, 0.8640252437053697, 0.9209571206263942, 0.8688511516228989, 0.8758915195356609, 0.9337912656859106, 0.8705802625614791, 0.9652603861617465]","[0.8567850963815655, 0.9647685415559344, 0.7966191839042762, 0.8993641965540355, 0.782626052763822, 0.8033508959373873, 0.9305815181695646, 0.8358389113113139, 0.9371255769674891]","[0.8350774570783921, 0.9492935326487136, 0.7661568481761536, 0.8951790872631373, 0.7694231037199888, 0.7635050412603894, 0.9118769317511859, 0.845802129728412, 0.9118545628413095]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,0,[0.01341743 0.02553138 0.10563884],[0.76825392 0.71211591 0.67702494],[0.70823214 0.717125   0.53276754],[0.69014713 0.69770656 0.5190702 ],25,0.7420157955036398,0.08000269532203674,0.900874218662042,0.6484561871391418,0.10030519962310791,0.8550179016664837,"[0.6094510351554205, 0.7669412167892944, 0.7939734722638927, 0.7965444490447899, 0.6129343607461893, 0.6014179564766454, 0.7476142878788284, 0.7974512878687987, 0.6442521602648974]","[0.6200132172117738, 0.7816711115070121, 0.7984438060659391, 0.7925473568038549, 0.6302327929816252, 0.6152474284201328, 0.753331031872052, 0.8069436534910446, 0.6677266342649923]","[0.6068905529242737, 0.80532693050272, 0.7737801412096731, 0.8132399756380182, 0.6331597257080419, 0.5588312616525027, 0.7466855847470777, 0.7867123980296431, 0.6820007250275213]","[0.6113072818077244, 0.6791936867209024, 0.7576649176574485, 0.7986462492971136, 0.5949135811492978, 0.5538070416971355, 0.7341984826035349, 0.7530601101819296, 0.5900579142123777]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,0,[0.04682108 0.01607656 0.00286823],[0.67773085 0.60858322 0.59164075],[0.67505887 0.53967608 0.48865918],[0.8004422  0.61955378 0.61097007],25,0.2999217525448548,0.094582200050354,0.9369601092367559,-0.04450633321275702,0.08655667304992676,0.8783751576495529,"[0.701704169734755, 0.712308253039943, 0.6668006920711315, 0.7005306635013624, 0.9493192983083586, 0.7920646592018611, 0.7234451968498594, 0.9134243021424767, 0.7218441845306123]","[0.7339930381742412, 0.7486594155223574, 0.6897104490055788, 0.728896914909822, 0.953115841077196, 0.8288298521697186, 0.7553462933979156, 0.922169173217849, 0.765717904596497]","[0.6343920826082006, 0.6438682185404297, 0.6123071973585581, 0.6363213445566184, 0.945811883992342, 0.7270092861495703, 0.649822043679682, 0.9247460593241601, 0.6292687101180594]","[0.6367130904576758, 0.6410829056933356, 0.6249136038590566, 0.6506325709036531, 0.9394285090097494, 0.7065754819944838, 0.663434248975406, 0.8739843853710889, 0.636627544089317]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,0,[0.02024016 0.08117003 0.00348405],[0.90367697 0.70344475 0.55836932],[0.77641737 0.55415328 0.52387673],[0.81835742 0.54488285 0.59101085],16,0.14895597476159647,0.1642811894416809,0.3088081859261578,0.16592454917851618,0.2101069986820221,0.3752487579079774,"[0.954760690311965, 0.9306143178944719, 0.7864794075457906, 0.9712244564590462, 0.9366333015302633, 0.922521310929269, 0.9501227343419326, 0.9789908061737764, 0.9160258730348851]","[0.9581931823717471, 0.9312376341829419, 0.7738891068321041, 0.9720208431641638, 0.938567483452871, 0.9233632476178288, 0.9516824421635635, 0.9806855891548669, 0.9165939339564467]","[0.9572253799834649, 0.9362724693002787, 0.826931556736513, 0.973345080106429, 0.9407300237069045, 0.9346217821726464, 0.9581299222925979, 0.9791326285715997, 0.9307487446968477]","[0.9423392460170752, 0.9242079451912784, 0.8049103725059832, 0.9673086369086051, 0.9281878510012116, 0.913735415529418, 0.9394426225516423, 0.9738273807395714, 0.9066830495724628]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,1,2,[0.28819099 0.36863158 0.29710364],[0.68010668 0.73869978 0.88636714],[0.64585048 0.71990563 0.8100919 ],[0.71990061 0.7878821  0.80654477],25,0.685403280338929,0.11247614026069641,0.7642466666874588,0.6810115923695074,0.09785452485084534,0.7610115477768116,"[0.9631955802054772, 0.7467347393152097, 0.7766961786580573, 0.8979416861157941, 0.8698946054317711, 0.9359171991987129, 0.6487806302558445, 0.8914640473585158, 0.9141277805242238]","[0.9612846428570785, 0.7248355362259984, 0.7453262132133748, 0.8875037639174583, 0.861877268411841, 0.9294353748285177, 0.6185158473110438, 0.87823121418497, 0.9064035102818311]","[0.9710692251170666, 0.8274995594596539, 0.8189338548809528, 0.9240047025806029, 0.8946018714190616, 0.956309442980859, 0.7366909407838834, 0.9078938135144227, 0.9409219942537634]","[0.9671345951576777, 0.7862197384467562, 0.8506561983855604, 0.921373733684214, 0.8953892273240651, 0.95099513733954, 0.7275859885208872, 0.924138810195093, 0.9313846036609621]"
continuous,with-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,1,2,[0.28577446 0.21516267 0.27824042],[0.69568157 0.77198062 0.69854581],[0.58212478 0.85022341 0.65745179],[0.61561086 0.89922463 0.71687316],25,0.17602160735907538,0.24949979782104492,0.4930085285884016,0.3570734218676288,0.2199132740497589,0.5705396197811275,"[0.8247440916569682, 0.6716143132126893, 0.8741721352535746, 0.8889428397589098, 0.9339731454331863, 0.8474790354315471, 0.4585436833085642, 0.8292457995766438, 0.9150315821714371]","[0.8341356484395651, 0.6838589042933291, 0.8767967751823167, 0.894222445212929, 0.9364395117313095, 0.8587328089673685, 0.4604908961841787, 0.8355989657969165, 0.9200833689325074]","[0.8016995101915834, 0.6333649497347573, 0.8765628201959437, 0.8755210275748839, 0.9278833000482241, 0.8134669655948266, 0.46735156068536654, 0.8196283660111852, 0.9021301467685174]","[0.8176809201461439, 0.6569415101745429, 0.8626659715486404, 0.8802264818621481, 0.9292639091685, 0.8396481010140124, 0.4527924183988172, 0.8175844850087547, 0.9053236743770092]"
