n_components,metric,logdir,n_jobs,algorithm,steps,perplexity,initialization,early_exaggeration,offset_left,offset_right
n_components,metric,logdir,n_jobs,algorithm,steps,perplexity,initialization,early_exaggeration,offset_left,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,C_svm,valid_total_r2_svm,valid_position_error_svm,valid_position_r2_svm,test_total_r2_svm,test_position_error_svm,test_position_r2_svm,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,0,0,1,[0.79823292 0.45960254 0.91131915],[0.7672538  0.49454909 0.92117971],[0.5566948  0.16231406 0.67487768],[0.68833101 0.24758676 0.75968585],25,0.4553291467135479,0.0904422327876091,0.6895832289508814,0.7617811090410384,0.0769655704498291,0.8053613197497035,"[2.5118864315095824, 1.0, 39.810717055349734, 0.3981071705534973]","[0.7087457271025895, 0.1114683581268366, -0.41452485975059544, -0.01294275592135293]","[0.06683161544411531, 0.17687916921848457, 0.3000379299309013, 0.24918968739414815]","[0.7760892654091942, 0.28642804010265355, 0.13806785057525695, 0.3102487976354932]",0.7419469990709127,0.05353421554320348,0.8325286552204136,"[0.9357802109641018, 0.9404108658424668, 0.9448399477177597, 0.9314892408065507, 0.9433016499698248, 0.9346726179990247, 0.9313142735852562, 0.9223614001848057, 0.9415535205486695]","[0.9352317644208739, 0.9397923064491455, 0.9472386753536994, 0.9303377902894833, 0.9437498932329265, 0.9359347469656976, 0.93171518653851, 0.9217137982369709, 0.9398304162042559]","[0.9266574692741194, 0.9212373604627591, 0.9287515103239943, 0.9210668923288617, 0.9324620018189637, 0.9208683758884759, 0.9129095274296347, 0.9146943688202196, 0.9291362310941434]","[0.9448209665102081, 0.9590826153571755, 0.9498263799323758, 0.9438263730118954, 0.950462734620871, 0.9413932028208842, 0.9452459869753952, 0.9305915875990395, 0.9574396106457294]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,1,0,1,[0.81875138 0.5063144  0.70764437],[0.80851486 0.55718781 0.67559366],[0.58329929 0.17811763 0.52499718],[0.70334143 0.18017456 0.59995637],25,-0.14978393697522474,0.23175281286239624,0.229488216942616,-0.12319548130710627,0.25041961669921875,0.4272124068794404,"[2.5118864315095824, 1.0, 39.810717055349734, 0.3981071705534973]","[0.7087457271025895, 0.1114683581268366, -0.41452485975059544, -0.01294275592135293]","[0.06683161544411531, 0.17687916921848457, 0.3000379299309013, 0.24918968739414815]","[0.7760892654091942, 0.28642804010265355, 0.13806785057525695, 0.3102487976354932]",0.12210283587634548,0.18431248824969965,0.48372302204448414,"[0.7242169335367032, 0.7146627226367489, 0.6811519578968377, 0.6904677411103528, 0.714559487791963, 0.6758181479527678, 0.7126349891617082, 0.7020778666677283, 0.6945678167827889]","[0.7213582634259184, 0.714102266490894, 0.6852559260009866, 0.6860758916410588, 0.7101577402617458, 0.669579110578074, 0.7212327074856, 0.6968992789593219, 0.6982434422558618]","[0.7394058316378522, 0.7213490631785908, 0.6770680328405219, 0.6960768764302669, 0.7020595494430162, 0.6628222124884746, 0.689390597899833, 0.7085195682805592, 0.6738549532522776]","[0.7232553004476105, 0.7107404986445195, 0.6686466526290473, 0.7003213825942003, 0.7330156050137591, 0.7026638153257853, 0.6980585311464684, 0.7134404582365186, 0.6933237487188788]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,2,0,1,[0.6121951  0.47823869 0.38098011],[0.62616395 0.50313446 0.3826115 ],[0.25639786 0.19110981 0.17673039],[0.37493368 0.18559722 0.21442323],25,-0.4023833045019703,0.4085034728050232,0.13322781306878073,-0.46591838445004874,0.4033921957015991,0.08473129178420924,"[2.5118864315095824, 1.0, 39.810717055349734, 0.3981071705534973]","[0.7087457271025895, 0.1114683581268366, -0.41452485975059544, -0.01294275592135293]","[0.06683161544411531, 0.17687916921848457, 0.3000379299309013, 0.24918968739414815]","[0.7760892654091942, 0.28642804010265355, 0.13806785057525695, 0.3102487976354932]",-0.5035935709522669,0.31114825556742787,0.16118974370936567,"[0.4313714675606052, 0.3948230819736205, 0.4317505109362591, 0.4182584215725734, 0.5167309186980249, 0.4442082884242953, 0.4257445936030089, 0.4118750012227199, 0.5118317194253723]","[0.44028613274909884, 0.39763773869064223, 0.43627630865164385, 0.4291196675497485, 0.5192994724570241, 0.45011874668849056, 0.4301684168072147, 0.4156066142150843, 0.5183636276103076]","[0.3764040772191103, 0.37704025568300675, 0.40698928828339753, 0.35339104306862296, 0.486367245014553, 0.4057776212818637, 0.38972932366821483, 0.38618850186103737, 0.4674910788007577]","[0.3981430475202442, 0.38346457409338663, 0.4165034824541092, 0.37762193896007784, 0.5115237859113619, 0.42580450421099486, 0.42095590208033173, 0.39735054554813415, 0.4888490145712635]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,3,0,1,[0.94398344 0.72231224 0.45465343],[0.95834777 0.69332483 0.49016392],[0.77000691 0.54216887 0.17996395],[0.8157627  0.5954923  0.21645111],25,-0.10081839114785578,0.3080477714538574,0.16454744751875883,-0.04986303887977206,0.2630566954612732,0.17579429350527165,"[2.5118864315095824, 1.0, 39.810717055349734, 0.3981071705534973]","[0.7087457271025895, 0.1114683581268366, -0.41452485975059544, -0.01294275592135293]","[0.06683161544411531, 0.17687916921848457, 0.3000379299309013, 0.24918968739414815]","[0.7760892654091942, 0.28642804010265355, 0.13806785057525695, 0.3102487976354932]",0.019282979155131958,0.18401057290751488,0.3523644261703357,"[0.8351473971026422, 0.8389096013827162, 0.8465854766134189, 0.843128997009275, 0.8577358098895248, 0.7952449736285765, 0.8517938374004912, 0.8218838692321837, 0.8520206982468359]","[0.8410914929573932, 0.8432451978062872, 0.8496975481935809, 0.8533156789868825, 0.8630801475658665, 0.7989306535531572, 0.8588175510107383, 0.82544831638029, 0.8556501053134481]","[0.8129540846596921, 0.816740423762494, 0.8318299924901904, 0.8092317879852863, 0.8388122553819628, 0.7806240146318705, 0.8285468853405533, 0.8037684425969288, 0.828631037332718]","[0.8325265253322984, 0.8421542524915981, 0.84674914053966, 0.8398598895134284, 0.8551237012310753, 0.7948284466739147, 0.846596435870046, 0.8247779446599085, 0.8585457256475757]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,0,1,1,[0.82961955 0.68963765 0.91522967],[0.81052308 0.67163351 0.92473181],[0.57095133 0.37005109 0.72845625],[0.76335496 0.39459435 0.80703931],25,0.47105852577740465,0.08460104465484619,0.7463280143837947,0.7561150454729453,0.0772998034954071,0.8360314449900675,"[6.309573444801936, 0.15848931924611143, 39.810717055349734, 2.5118864315095824]","[0.7224203127455585, 0.08147110256095343, -0.4284250834775079, 0.003094080167093227]","[0.06826236811640735, 0.16303465552361973, 0.2876003198780708, 0.23351557038601312]","[0.8075563740170262, 0.341799685975296, 0.12937894197940303, 0.32298163925175727]",0.7575362401739016,0.052749377650617046,0.8706294119524611,"[0.9358050687550287, 0.9244225644829331, 0.9474020270456001, 0.9494113014632581, 0.9573250380897524, 0.955524975228218, 0.9505096328651182, 0.9513314104676505, 0.9476211138449399]","[0.9352707221577523, 0.9226443226670202, 0.9478442097519011, 0.9490486558264544, 0.9580667481285852, 0.9575016456077732, 0.9497349944975773, 0.9505233829155475, 0.9460472580607797]","[0.9266675109167559, 0.9061425733429825, 0.9339496561416755, 0.9364969226939632, 0.9448310615081127, 0.9403762246094818, 0.9353817073353561, 0.9453829470544641, 0.9354168384245996]","[0.9448925471551061, 0.9463382756130165, 0.9566281204246394, 0.9608212677366628, 0.9648831595311635, 0.9608428915357221, 0.9661808549565188, 0.9586321940264048, 0.9629456163342522]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,1,1,1,[0.83097279 0.67998468 0.75780877],[0.81846308 0.68493479 0.72847006],[0.58090534 0.36967477 0.5723497 ],[0.76520071 0.33357206 0.66899632],16,-0.04593356864780954,0.20563989877700806,0.2918449007081205,-0.06692079451138933,0.24036866426467896,0.4771442084759274,"[6.309573444801936, 0.15848931924611143, 39.810717055349734, 2.5118864315095824]","[0.7224203127455585, 0.08147110256095343, -0.4284250834775079, 0.003094080167093227]","[0.06826236811640735, 0.16303465552361973, 0.2876003198780708, 0.23351557038601312]","[0.8075563740170262, 0.341799685975296, 0.12937894197940303, 0.32298163925175727]",0.0783784566848964,0.17636500462391314,0.5393805771125922,"[0.7232406756325636, 0.7140011683809908, 0.695958071534691, 0.7447790267505333, 0.775012670481088, 0.7107154136616982, 0.6943876159707922, 0.7422690102378318, 0.7537720579227041]","[0.7217056901314336, 0.7083757756536788, 0.6951536153574166, 0.7312979953541339, 0.7710178210528668, 0.7028408393057528, 0.6951444693426307, 0.7279244310250218, 0.7489758574778835]","[0.7365358688370316, 0.7438259501289617, 0.714718650936689, 0.7742961673548145, 0.7768929680455539, 0.7318196583791607, 0.7099049122718369, 0.7705968513490467, 0.7696215339378573]","[0.718935534211802, 0.715340068465175, 0.6882665110726037, 0.7753941300330276, 0.7862710631902259, 0.7266901853616201, 0.6898441468462991, 0.7761515453104751, 0.7637692217414712]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,2,1,1,[0.59634512 0.54693008 0.45190981],[0.59503884 0.57294172 0.43381742],[0.37137327 0.32017137 0.28688808],[0.34909225 0.26727535 0.26451218],25,-0.3884896268287818,0.402887761592865,0.15015002416376655,-0.4706047710066314,0.391846239566803,0.12952701452018256,"[6.309573444801936, 0.15848931924611143, 39.810717055349734, 2.5118864315095824]","[0.7224203127455585, 0.08147110256095343, -0.4284250834775079, 0.003094080167093227]","[0.06826236811640735, 0.16303465552361973, 0.2876003198780708, 0.23351557038601312]","[0.8075563740170262, 0.341799685975296, 0.12937894197940303, 0.32298163925175727]",-0.5181578451882881,0.29747356061026897,0.15338404430753583,"[0.43436865924526324, 0.3213991980335969, 0.31340580549882935, 0.4536737900528095, 0.4522597601376504, 0.3713489161012676, 0.30354193739142155, 0.2801357332716915, 0.4097827479445495]","[0.4415657493827546, 0.3230057514494454, 0.3221582027065442, 0.4617512210763306, 0.4607483191825533, 0.3828808898331031, 0.3106134742381836, 0.2839245716718334, 0.4172342690447032]","[0.3881432928859666, 0.2994567325514263, 0.27660413530905303, 0.3871718483761037, 0.39164322644162713, 0.30974065694626474, 0.25734351432238095, 0.24037518760859455, 0.36580926592467955]","[0.40567249665112376, 0.31504209477624107, 0.2765347422322411, 0.42862165204126806, 0.42452232104328647, 0.3300161756347767, 0.2848977141356211, 0.2714592823404084, 0.38165962283118077]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,3,1,1,[0.93668722 0.7656624  0.65368294],[0.9464668  0.74216302 0.62827827],[0.79563239 0.56285601 0.35101815],[0.84447739 0.67391115 0.3846823 ],25,-0.07788194999611446,0.31319379806518555,0.15316739326172957,-0.05270528832441701,0.2780444622039795,0.15492037663196545,"[6.309573444801936, 0.15848931924611143, 39.810717055349734, 2.5118864315095824]","[0.7224203127455585, 0.08147110256095343, -0.4284250834775079, 0.003094080167093227]","[0.06826236811640735, 0.16303465552361973, 0.2876003198780708, 0.23351557038601312]","[0.8075563740170262, 0.341799685975296, 0.12937894197940303, 0.32298163925175727]",0.03944809878420082,0.1743689879576804,0.36552897228612746,"[0.8358727000777006, 0.8287796626097967, 0.8405050042903632, 0.8292332332875753, 0.8425096671683993, 0.8014543319855104, 0.8437783105361655, 0.8441734270128942, 0.828936747530548]","[0.841509927149963, 0.8361126421837554, 0.8489343329485162, 0.8347938486045985, 0.8496363165069347, 0.8125305332732107, 0.8518974821535397, 0.8490190608368378, 0.830809380911202]","[0.8141005997504394, 0.7997081163065956, 0.8159977983604709, 0.802195875592113, 0.8224199989066354, 0.7783384208300209, 0.8209400028623997, 0.8210363452642985, 0.8133611991099483]","[0.8343279740334291, 0.8286391927112322, 0.8326567382643202, 0.8333896870211326, 0.8360589798549272, 0.7881797601568302, 0.8353843063732505, 0.8475517111729276, 0.8342727602021496]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,0,0,0,[0.4462488  0.51687817 0.91887021],[0.39535891 0.39346147 0.88111292],[0.30366019 0.45927485 0.79080449],[0.40084405 0.34566835 0.89284869],25,0.7894068009218955,0.08770319819450378,0.8706784683655215,0.7892390418682513,0.08944398164749146,0.877209088012474,"[6.309573444801936, 100.0, 0.06309573444801933, 100.0]","[0.9118893736921102, -0.06703800538180378, -0.5152374749383658, -0.08325022599705494]","[0.06324118097073772, 0.19554308647269414, 0.29195107491803585, 0.18428997944388997]","[0.9178091698395439, 0.1837853567298905, 0.037475475158056604, 0.17784232135922606]",0.8596129887819973,0.06864462610717681,0.9242572459452423,"[0.9357802109641018, 0.9404108658424668, 0.9448399477177597, 0.9314892408065507, 0.9433016499698248, 0.9346726179990247, 0.9313142735852562, 0.9223614001848057, 0.9415535205486695]","[0.9330875947918249, 0.9372319874640198, 0.943128250519749, 0.9265349205019969, 0.9404360376476035, 0.9315261451148723, 0.9259984459718955, 0.9202635838459616, 0.9374523081989066]","[0.9435942539940463, 0.9481801534094567, 0.950569729955167, 0.9427184248954352, 0.9515505331718498, 0.9439380544853879, 0.9487160329278865, 0.9236261607808962, 0.9491538798937036]","[0.9390618050357113, 0.945299712043507, 0.9463398727077865, 0.9398735081502156, 0.9466746925856886, 0.9383203230496706, 0.9362279041364732, 0.9280753688747088, 0.949937490771195]"
2,cosine,/logs,-1,tsne,-1,10,pca,16.4444444444444,5,5,1,0,0,[0.55390656 0.21519451 0.52313582],[0.51520242 0.16196072 0.48020514],[0.46503376 0.18840969 0.41728041],[0.42208757 0.24295694 0.39645965],16,-0.27807789082302964,0.21924418210983276,0.2638349661390551,-0.4142322131406331,0.263497918844223,0.16545622161662277,"[6.309573444801936, 100.0, 0.06309573444801933, 100.0]","[0.9118893736921102, -0.06703800538180378, -0.5152374749383658, -0.08325022599705494]","[0.06324118097073772, 0.19554308647269414, 0.29195107491803585, 0.18428997944388997]","[0.9178091698395439, 0.1837853567298905, 0.037475475158056604, 0.17784232135922606]",-0.07073538200111551,0.24121289153725245,0.22565408529744457,"[0.5432117545857703, 0.5757331902908932, 0.6314941620486036, 0.6223390696697265, 0.399685928679695, 0.6060663997409164, 0.5909413664569303, 0.5818050046114398, 0.61048227955443]","[0.5323095250335758, 0.5734954467360118, 0.6420486395996964, 0.6336773751107382, 0.4103520827563139, 0.5925638834316199, 0.5752563145564078, 0.5625061792788235, 0.6243500407835985]","[0.556915698034349, 0.622641618188102, 0.6240136030190575, 0.6444762043090666, 0.39521453920194205, 0.6372229298532486, 0.6287208258860607, 0.619381794935445, 0.6190123844966453]","[0.5525650117897999, 0.5436232736250721, 0.5943449634149495, 0.5701957266020538, 0.3789627526958159, 0.6117602930123445, 0.6045278063815821, 0.6011006195847052, 0.5581052553392396]"
