mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr
mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,2,[0.31779013 0.33247976 0.23321733],[0.69241859 0.69173817 0.71552324],[0.49847875 0.47573536 0.48938783],[0.61510347 0.71080254 0.59227294],64,0.5309435643327342,0.16721712052822113,0.5011674101986522,0.4997233804760925,0.16732187569141388,0.558313179161528,"[0.8802658478183574, 0.6479761833101464, 0.6359687644305797, 0.5420989094427658, 0.5892223828272665, 0.7351275408908622, 0.5874555641017354, 0.7229777588857519, 0.6915981188104209]","[0.8797505927075941, 0.6452606347603603, 0.6100827329152952, 0.540217345212804, 0.6045565585607682, 0.7265040166571881, 0.5714706698937402, 0.7111976661523901, 0.6787008232464785]","[0.8821294592408544, 0.6328177933365386, 0.6907134576962228, 0.530351456826677, 0.5408081671390059, 0.7579241880705677, 0.5984559015155271, 0.7630766427134617, 0.7125830882237625]","[0.886939523698475, 0.6587954062046153, 0.7098708990438372, 0.5601927238290065, 0.5993389336942089, 0.7751335962758892, 0.635356709660011, 0.7469555184680917, 0.7290683465393966]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,2,[0.36980563 0.25362752 0.04549455],[0.45744651 0.62654931 0.39841569],[0.40985209 0.53688798 0.48987476],[0.43775465 0.50071213 0.36534781],289,-0.196411225308869,0.23382854461669922,0.5665850055419874,-0.06713580522125644,0.22341123223304749,0.5453924956181403,"[0.5523686358171439, 0.09088012525777223, 0.4978429811954014, 0.625404741008087, 0.5569109766736733, 0.7476249375470284, 0.5123715864036636, 0.39225238700790244, 0.5353305586697572]","[0.5570707956219395, 0.09162527336812354, 0.5031695019069579, 0.6330635158713028, 0.5660466709673253, 0.7557029915679379, 0.5166734151893464, 0.4069555218293477, 0.5356093740305671]","[0.5404902558941245, 0.08718677484565596, 0.48772624086012256, 0.6158724379421474, 0.5341587983690218, 0.7099677988233263, 0.5306767827147696, 0.39861879337365635, 0.5422122237290142]","[0.5484260451567019, 0.09344828327054433, 0.4900140874130959, 0.6043923216794012, 0.544371867499617, 0.7524432386280131, 0.4892989071589322, 0.3368394877368806, 0.5347457498155301]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,2,[0.50528439 0.27503617 0.16168987],[0.73908672 0.64981982 0.40929959],[0.4767866  0.55991699 0.40662528],[0.73287478 0.48005177 0.47083761],676,-0.5058888337677501,0.48750555515289307,0.12333937416366525,-0.3904762676025653,0.5537624955177307,-0.0622397043187608,"[0.46115013612752137, 0.6091180666893451, 0.39534700692124247, 0.3803109449403965, 0.5930491652144068, 0.5476527236910077, 0.6177577061459322, 0.546902377162464, 0.4160145879156986]","[0.4627082596760355, 0.5985550001341107, 0.4097482320568592, 0.36492087398633044, 0.5817593338868702, 0.5500774558097694, 0.6317979360164458, 0.5525658925368836, 0.4158004477260937]","[0.4858779654099166, 0.6496366746171888, 0.3588649818749294, 0.42859664828651844, 0.6053343280902247, 0.5608999514841377, 0.6134450540979643, 0.5851658015984904, 0.4538668847883989]","[0.4641415622830929, 0.6421957334762466, 0.3627819410212781, 0.4454479057808809, 0.6326699636845543, 0.5418745008792943, 0.5799557120117926, 0.5084456805105829, 0.4172786237954736]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,2,[0.2038382  0.03142557 0.08548642],[0.80932806 0.61628682 0.53409024],[0.57136792 0.61410194 0.56237052],[0.72602608 0.57763628 0.77031859],841,0.13656890799572896,0.3223496675491333,0.15758266190720516,0.28177241279114135,0.34065234661102295,0.26614979010429785,"[0.8602861741643357, 0.8454149377446947, 0.9104965350838988, 0.3326729830313811, 0.6478909170588454, 0.6255910121033413, 0.8978562334176515, 0.8058602594555395, 0.8546559698412233]","[0.8511932448965915, 0.832650122334786, 0.9101841223163221, 0.3258750082139633, 0.6344401253572223, 0.6145203419648737, 0.8922684912518468, 0.8002288342705648, 0.8493451262480758]","[0.8937903716122835, 0.8817080284631819, 0.9092938301659417, 0.35480758251679356, 0.7011578933560237, 0.6585671049563462, 0.9154426252884389, 0.8423770246027529, 0.8748593572621176]","[0.8827616015418052, 0.8845465272189653, 0.9142142023699453, 0.35924988928961904, 0.6695508101954413, 0.6540317712908393, 0.9112687663434251, 0.814567265532004, 0.8684932526704159]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,0,0,[0.02242896 0.0493174  0.01651234],[0.64310756 0.42499959 0.88723335],[0.56282168 0.39200925 0.64396065],[0.40725363 0.33972596 0.77764927],144,0.8611423612974237,0.09200507402420044,0.8346561166444961,0.7859285620903572,0.10037216544151306,0.7938762642534022,"[0.32428314861282, 0.468727961936992, 0.3178264187692036, 0.39869089659904233, 0.1120029729915551, 0.30334023782782477, 0.3582994542936046, 0.3680681461466396, 0.2595014830741849]","[0.34009010703125786, 0.4881764566051538, 0.3475556907845955, 0.4150450666879421, 0.11104921037869947, 0.32853075633346496, 0.38038859931206037, 0.3825160826804332, 0.28980215030676276]","[0.3017060375179604, 0.45780752816410686, 0.3049394620764899, 0.38069532188073907, 0.11573044302716035, 0.27753950784505055, 0.35756434560760936, 0.358142602148268, 0.2081836806433296]","[0.2732735309077093, 0.4118783449869698, 0.2382119970745652, 0.36171583459214435, 0.11967047363529698, 0.22915031558522914, 0.28528897728904956, 0.3335068412668559, 0.2033292965091948]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,0,0,[0.02860847 0.02502672 0.0742298 ],[0.64693289 0.41842931 0.58772773],[0.60340464 0.49262241 0.44040689],[0.49796634 0.15783804 0.32745636],625,0.1419869787725313,0.21067845821380615,0.4044305125013582,-0.3587291608365459,0.2480589747428894,0.010555944671440498,"[0.5518453254115814, 0.2973005235278993, 0.14612913892670365, 0.4735478523762423, 0.5570825608957439, 0.4609282693952219, 0.48742874352337995, 0.6892507904501749, 0.3290809306732499]","[0.5654260259750195, 0.3010125902853257, 0.146862164960869, 0.4915076050030004, 0.5607485575922321, 0.4865081656232984, 0.4902636957075564, 0.7459379175260794, 0.3481494932463806]","[0.5838247674788424, 0.32791908836604994, 0.17904677215448478, 0.4881762284050725, 0.5824388792022128, 0.4675460109659615, 0.5015832634334486, 0.6954093454416557, 0.3746980430212617]","[0.49446313076635345, 0.2578671654592297, 0.11980607447890074, 0.4365464055799616, 0.5316741296690699, 0.40765998606283044, 0.480266399020128, 0.5836205849415681, 0.263953607490642]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,0,[0.03010202 0.01638517 0.00911165],[0.52537132 0.50096346 0.47831164],[0.33176969 0.33953035 0.28161964],[0.31546618 0.1439213  0.18909533],121,-0.5878217756294065,0.6200579404830933,-0.07169597529841654,-0.6376523265651445,0.5787414312362671,-0.2927613766725441,"[0.7207360542313028, 0.7457795623765551, 0.6754181740351729, 0.7366817882005382, 0.8440140835618848, 0.7314490785058863, 0.7411099341180531, 0.5890385319475873, 0.7268735072669243]","[0.7374979982615896, 0.7640814905522251, 0.6887011591876113, 0.7463739948885555, 0.8558248631005121, 0.7576826526361808, 0.7601451740487801, 0.6011112742315492, 0.7473976606341037]","[0.69300481739074, 0.7208538203400631, 0.6398640195375691, 0.7251181189290818, 0.8409066829042009, 0.6725520031011333, 0.7091610668671924, 0.5933713139648594, 0.6778050186466523]","[0.6764241287868893, 0.6976796446537418, 0.6489049908810123, 0.7057353060391998, 0.7989484433752143, 0.6845598476410332, 0.6911808275941806, 0.5454403251020643, 0.6865852064629941]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,0,[0.02674174 0.08371554 0.01208373],[0.91581309 0.6640054  0.4071958 ],[0.70947747 0.44278308 0.35043424],[0.81126229 0.43313387 0.26518712],729,0.006397740807953782,0.19844071567058563,0.15217542088985292,0.13409949692620157,0.24606603384017944,0.31741721236207154,"[0.9392403194776479, 0.9102786890447352, 0.8005010419539966, 0.935812656091008, 0.9219290887118248, 0.5394385727885211, 0.9147014194146936, 0.960107156206906, 0.8310734117215137]","[0.9422956031746377, 0.9092812513479287, 0.8033994346847121, 0.9373454983180545, 0.9213406930857473, 0.5363155781181779, 0.9144135933654323, 0.9627607824730031, 0.8349391531693414]","[0.9420761545268554, 0.9339938486603341, 0.8022907417302395, 0.9481612813512965, 0.9307614222046635, 0.5557482452467606, 0.9299481514096792, 0.9607868925356641, 0.8478790037336896]","[0.9311617960242158, 0.9010882269401572, 0.7959214812586108, 0.9232793688404568, 0.9180351746315473, 0.5414919163265811, 0.9055785509891777, 0.9527662487494012, 0.8081631814940655]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,1,2,[0.34335345 0.04211128 0.27020256],[0.61792238 0.17122681 0.87466627],[0.56279696 0.09951222 0.75308342],[0.67493161 0.22459306 0.75728858],841,0.5441463661857756,0.13370229303836823,0.6712036520034073,0.5569438647546617,0.10960987210273743,0.7350666655281431,"[0.8709911392642063, 0.6435056202740033, 0.674130236641681, 0.5690285095048264, 0.5026058704144638, 0.7203373871007244, 0.5995986100081371, 0.7787438291609198, 0.6336999297981605]","[0.8708084599881489, 0.6315091172784907, 0.6469670585884724, 0.5584499839909081, 0.5285976565172261, 0.7134000236458571, 0.5751367672111951, 0.7611422343198835, 0.6162533272607461]","[0.8716179245534765, 0.6394413415957088, 0.7223391596798401, 0.5517374736236267, 0.47781703597630104, 0.7380849947302688, 0.6118534621752498, 0.787313587195696, 0.6864586542688256]","[0.8788079429999744, 0.6776633992090031, 0.7529353166154542, 0.6117332237616977, 0.48379047653333884, 0.753544362959828, 0.672712863630176, 0.8272994304222938, 0.6773783096743763]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,1,2,[0.32313342 0.03564244 0.23964303],[0.6121426  0.22999942 0.67362113],[0.49386437 0.30168957 0.59417646],[0.54491245 0.36726736 0.64772005],81,0.04002735659097719,0.2420012354850769,0.47206014299045496,0.0894344350996662,0.229233980178833,0.546565918120846,"[0.7145622602736164, 0.45985704461396865, 0.8633769529097235, 0.8507814691336955, 0.9285486458207012, 0.827902433963287, 0.4636776515037221, 0.5041927019441028, 0.8348475901415441]","[0.7208219164108594, 0.47335157984343246, 0.8662035152231337, 0.8518962500084152, 0.9311710965408109, 0.8357053054102488, 0.4650700413636488, 0.5079023893198351, 0.8355226365844062]","[0.6962167578182357, 0.41937031441726796, 0.8648973952266652, 0.8511743136975443, 0.9212849512119556, 0.7874983123828464, 0.4717305782110788, 0.5317349029720533, 0.8331714960786138]","[0.7047840390511817, 0.44098645776081136, 0.8509531333904969, 0.84607571135999, 0.9239308239222077, 0.8290940733623968, 0.4572246393199152, 0.4735187047515861, 0.8343883353012913]"
