,batch_size,conditional,delta,device,learning_rate,loss_distance,model,num_hidden_units,num_output,num_steps,save_emissions,save_frequency,share_model,temperature,time_offset,tqdm,train_ratio,valid_frequency,valid_ratio,variant,steps,data_mode,seed,repeat,Unnamed: 0,valid_total_r2,valid_position_error,test_total_r2,test_position_error,train_consistency,valid_consistency,test_consistency
0,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,0,1.0,342.0,0.27010531125328846,0.12021115732689697,0.22776270808810553,0.13887174023936186,0.9761561625931653,0.7691528667180915,0.7903665705842892
1,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,1,1.0,1179.0,0.26278679856503495,0.12297429641087847,0.2275188451746425,0.13958193392803267,0.9755884027391112,0.7803322894673634,0.7931323290288009
2,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,2,1.0,2313.0,0.2619522601863726,0.12100526007513202,0.18142443132154948,0.1410226530085007,0.9753140508551498,0.7780533354947224,0.8022543678551953
3,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,3,1.0,3123.0,0.264514455141572,0.12627109885215754,0.2052928154279049,0.1452453453093767,0.9752168183713971,0.7716713012822497,0.7920993128988115
4,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,4,1.0,4770.0,0.286112710673463,0.12239578055838744,0.23279230598468958,0.13866962989171341,0.9768654745244666,0.7810813543631484,0.8072929589051531
5,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,5,1.0,5364.0,0.2664720914674236,0.12455923048158483,0.206609656508809,0.14106094526747856,0.9764140024118847,0.7735503656589818,0.7935076754030151
6,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,6,1.0,6201.0,0.25502180877187336,0.12460146658122538,0.20948518634345914,0.14578275196254245,0.9753694745508712,0.772176203680193,0.7900777486554343
7,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,7,1.0,7092.0,0.27020503658036754,0.12463485822081562,0.22109393129085173,0.13915939442813388,0.9764361379734625,0.7769548697170606,0.8045919767459547
8,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,8,1.0,8496.0,0.2740354703393674,0.12485332787036892,0.21753667758013065,0.14001191531618432,0.9752183539571023,0.7756948835865529,0.7948003599073119
9,512,time_delta,0.1,cuda,0.0003,cosine,offset10-model,32,32,20000,True,250,False,1,10,False,0.8,100,0.1,single-session,20000,single-session,9,1.0,9468.0,0.24114853871161765,0.12680735749502972,0.236870826321129,0.14266907547911004,0.9757728065420267,0.790641354658241,0.7936784176718924
